,SNo.,company,amount
0,1,Abbott India Limited,"30,000,000.00"
1,2,Ntpc Limited,"18,125,000.00"
2,3,Jaiprakash Associates Limited,"13,500,000.00"
3,4,Gujarat Tea Processors And Packers Limited,"8,000,000.00"
4,5,J B Chemicals And Pharmaceuticals Limited,"7,750,000.00"
5,6,Century Enka Limited,"7,413,000.00"
6,7,Gujarat Mineral Development Corporation Limited,"7,061,000.00"
7,8,J. M. Huber India Private Limited,"3,507,270.00"
8,9,Cadila Healthcare Limited,"2,500,000.00"
9,10,Sun Pharmaceutical Industries Limited,"2,050,000.00"
10,11,K Patel Chemo-Pharma Private Limited,"1,025,000.00"
11,12,Kanoria Chemicals & Industries Ltd,"960,000.00"
12,13,Peninsula Land Limited,"900,000.00"
13,14,Flometallic India Private Limited,"520,000.00"
14,15,Shoft Shipyard Private Limited,"479,000.00"
15,16,Nocil Limited,"418,000.00"
16,17,Reliance Ventures Limited,"216,000.00"
17,18,Filatex India Ltd(Tr.Co.From Delhi),"41,798.00"
18,19,Schott Kaisha Private Limited,0.00
