,SNo.,company,amount
0,1,Kalpataru Power Transmission Limited,"3,236,000.00"
1,2,Gujarat State Petronet Limited,"2,880,900.00"
2,3,Gujarat Mineral Development Corporation Limited,"2,500,000.00"
3,4,Aspee Agro Equipment Pvt Ltd,"2,175,519.00"
4,5,Tata Housing Development Company Limited,"2,000,000.00"
5,6,Tcpl Packaging Limited,"1,250,000.00"
6,7,Gujarat Alkalies And Chemicals Limited,"828,160.00"
7,8,E-Infochips Limited,"500,000.00"
8,9,Apcotex Industries Limited,"500,000.00"
9,10,Reliance Ventures Limited,"144,000.00"
10,11,Universal Medicap Limited,"102,000.00"
11,12,Omni Lens Pvt Ltd,"80,250.00"
12,13,Power Grid Corporation Of India Limited,0.00
13,14,Sadbhav Infrastructure Project Limited,0.00
