,SNo.,company,amount
0,1,Navneet Education Limited,"14,300,000.00"
1,2,Archean Chemical Industries Private Limited,"6,561,045.00"
2,3,Agrocel Industries Private Limited,"5,502,673.00"
3,4,Excel Crop Care Ltd,"4,051,000.00"
4,5,Gujarat Credo Mineral Industries Limited,"985,000.00"
5,6,Satra Properties (India) Limited,"900,000.00"
6,7,Man Industries (India) Limited,"739,000.00"
7,8,Fiem Industries Limited,"600,000.00"
8,9,Tokyo Plast International Ltd,"572,000.00"
9,10,Sukhjit Starch And Chemicals Ltd,"500,000.00"
10,11,Excel Industries Limited,"354,000.00"
11,12,Tata Capital Financial Services Limited,"250,000.00"
12,13,Oren Hydrocarbons Private Limited,"200,000.00"
13,14,Prince Swr Systems Private Limited,"100,000.00"
