,SNo.,company,amount
0,1,Gujarat Alkalies And Chemicals Limited,"8,565,000.00"
1,2,Gujarat Industries Power Company Ltd.,"8,176,000.00"
2,3,Koch Chemical Technology Group India Private Limited,"7,403,891.00"
3,4,Camphor And Allied Products Ltd,"3,900,000.00"
4,5,Shakun Polymers Limited,"2,061,000.00"
5,6,Voltamp Transformers Limited,"1,866,857.00"
6,7,Koshambh Multitred Pvt Ltd,"1,663,000.00"
7,8,Universal Medicap Limited,"1,564,001.00"
8,9,Panasonic Energy India Company Limited,"1,505,000.00"
9,10,Standard Radiators Private Limited,"1,406,000.05"
10,11,Rajkamal Builders Infrastructure Private Limited,"1,272,949.00"
11,12,Matrix Comsec Private Limited,"1,136,425.00"
12,13,Cheviot International Limited,"1,100,000.00"
13,14,Thakurdevi Investnents Pvt Ltd,"1,075,000.00"
14,15,Gujarat Energy Transmission Corporation Limited,"1,049,611.00"
15,16,Solvay Specialities India Private Limited,"1,010,000.00"
16,17,Sodium Metal Pvt Ltd,"860,000.00"
17,18,Yesha Electricals Private Limited,"800,000.00"
18,19,L&T; Hydrocarbon Engineering Limited,"600,000.00"
19,20,Cadila Healthcare Limited,"550,000.00"
20,21,Gujarat Automotive Gears Limited,"510,560.00"
21,22,Manpasand Beverages Limited,"505,000.00"
22,23,Saurer Textile Solutions Private Limited,"447,042.00"
23,24,Shivam Autotech Limited,"400,000.00"
24,25,Reliance Ventures Limited,"360,000.00"
25,26,Power Grid Corporation Of India Limited,"339,000.00"
26,27,Vijay Tanks And Vessels Private Limited,"249,000.00"
27,28,Oerlikon Textile India Private Limited,"100,000.00"
28,29,E-Infochips Limited,"100,000.00"
29,30,Bodal Chemicals Limited,"44,700.00"
30,31,Ankur Scientific Energy Technologies Pvt  Ltd,"31,000.00"
31,32,Rex-Tone Industries Limited,8.26
32,33,Computer Sciences Corporation Business Process Services India Private Limited,0.00
33,34,Deepkiran Foods Private Limited,0.00
34,35,Alstom India Limited,0.00
35,36,Alstom T & D India Limited,0.00
