,SNo.,company,amount
0,1,Bilakhia Holdings Private Limited,"14,300,000.00"
1,2,Upl Limited,"9,200,000.00"
2,3,Meril Life Sciences Private Limited,"6,500,000.00"
3,4,Minix Holdings Private Limited,"4,000,000.00"
4,5,Shah Virchand Govanji Jewellars Private Limited,"2,500,000.00"
5,6,Poddar Tyres Limited,"1,000,000.00"
6,7,Standard Greases And Specialities Private Limited,"863,179.00"
7,8,Golkunda Diamonds And Jewellery Limited,"805,000.00"
8,9,Lubrizol Advanced Materials India Private Limited,"760,000.00"
9,10,Mitsu Private Limited,"700,000.00"
10,11,Mixon Holdings Private Limited,"700,000.00"
11,12,Garware Wall Ropes Limited,"400,000.00"
12,13,Avanti Feeds Limited,"199,000.00"
13,14,K Patel Chemo-Pharma Private Limited,"168,000.00"
14,15,Power Grid Corporation Of India Limited,0.00
