,SNo.,company,amount
0,1,Bharat Heavy Electricals Limited,"247,000,000.00"
1,2,Ireo Private Limited,"36,923,530.00"
2,3,Ansal Properties And Infrastructure Limited,"30,000,000.00"
3,4,Dlf Limited,"26,200,000.00"
4,5,Essel Mining & Industries Ltd.,"22,500,000.00"
5,6,Carrier Airconditioning & Refrigeration Limited,"18,133,333.00"
6,7,Rites Limited,"12,300,000.00"
7,8,Indusind Bank Ltd.,"11,800,000.00"
8,9,Ansal Housing And Construction Limited,"11,025,000.00"
9,10,Ambience Private Limited,"9,700,000.00"
10,11,Kpmg Global Services Private Limited,"8,584,600.00"
11,12,Gateway Rail Freight Limited,"7,174,021.00"
12,13,Unitedhealth Group Information Services Private Limited,"7,100,000.00"
13,14,Sandhar Technologies Limited,"5,796,000.00"
14,15,Tata Housing Development Company Limited,"5,700,000.00"
15,16,Subros Limited,"5,331,000.00"
16,17,India Infoline Finance Limited,"5,000,000.00"
17,18,Boeing International Corporation India Private Limited,"4,974,082.00"
18,19,Comviva Technologies Limited,"4,670,000.00"
19,20,Ansal Buildwell Limited,"3,000,000.00"
20,21,Munjal Showa Limited,"2,833,032.00"
21,22,Il&Fs; Rail Limited,"2,630,000.00"
22,23,Devyani Food Industries Limited,"2,630,000.00"
23,24,Ambience Developers & Infrastructure Private Limited.,"2,500,000.00"
24,25,Mindarika Private Limited,"1,850,000.00"
25,26,Nikon India Private Limited,"1,775,000.00"
26,27,Lumax Auto Technologies Limited,"1,762,000.00"
27,28,Ozone Overseas Private Limited,"1,500,000.00"
28,29,Asian Hotels (North) Limited,"1,500,000.00"
29,30,Cargill Global Trading India Private Limited,"1,482,243.00"
30,31,Chang Yun India Private Limited,"1,460,000.00"
31,32,Power Grid Corporation Of India Limited,"1,402,000.00"
32,33,National Energy Trading And Services Limited,"1,275,000.00"
33,34,Ericsson India Private Limited,"1,250,000.00"
34,35,Lumax Dk Auto Industries Limited,"1,195,000.00"
35,36,Desiccant Rotors International Private Limited,"1,131,199.00"
36,37,Ceb India Private Limited,"996,410.00"
37,38,Fresenius Kabi Oncology Limited,"955,000.00"
38,39,Doosan Power Systems India Private Limited,"931,600.00"
39,40,Pioneer Urban Land & Infrastructure Limited,"899,022.00"
40,41,Lease Plan India Private Limited,"834,928.00"
41,42,Biba Apparels Private Limited,"757,260.00"
42,43,Bajaj Motors Limited,"720,851.00"
43,44,Rj Corp Limited,"600,000.00"
44,45,Kpmg Resource Centre Private Limited,"597,000.00"
45,46,E I Dupont India Private Limited,"565,620.00"
46,47,Vital Construction Private Limited,"415,461.00"
47,48,Tcpl Packaging Limited,"400,000.00"
48,49,Panchsheel Investment Company (A Pvt.Co.With Unlimited Liability),"400,000.00"
49,50,Jet Age Finance Pvt. Ltd.,"376,000.00"
50,51,Jet Age Securities Pvt Ltd,"340,000.00"
51,52,Tt Electronics Sensing And Control India  Private Limited,"308,875.00"
52,53,Unitech Limited,"250,000.00"
53,54,Utstarcom India Telecom Private Limited,"250,000.00"
54,55,Anand Automotive Private Limited,"184,870.07"
55,56,Clifford Chance Business Services Private Limited,"143,460.00"
56,57,Honda Trading Corporation India Private Limited,"109,800.00"
57,58,Sk E&C; India Private Limited,"108,728.00"
58,59,Gabriel India Limited,"70,000.00"
59,60,Lemon Tree Land & Developers Private Limited,"58,782.94"
60,61,Covidien Healthcare India Private Limited,0.00
61,62,Sabic India Private Limited,0.00
62,63,Kotak Mahindra Bank Limited,0.00
63,64,Spicer India Private Limited,0.00
