,SNo.,company,amount
0,1,Infosys Limited,"615,500,000.00"
1,2,Goldman Sachs Services Private Limited,"30,500,000.00"
2,3,Biocon Limited,"21,300,000.00"
3,4,Strides Shasun Limited,"19,400,000.00"
4,5,Puravankara Projects Limited,"11,500,000.00"
5,6,Novartis India Limited,"6,200,000.00"
6,7,Centurylink Technologies India Private Limited,"5,363,670.00"
7,8,Alkem Laboratories Limited,"5,000,000.00"
8,9,Sansera Engineering Private Limited,"4,020,000.00"
9,10,Sabic Research And Technology Private Limited,"3,599,667.00"
10,11,Societe Generale Global Solution Centre Private Li,"2,829,000.00"
11,12,Unitedhealth Group Information Services Private Limited,"2,820,000.00"
12,13,Wells Fargo India Solutions Private Limited,"2,566,545.00"
13,14,Cibersites India Private Limited,"2,304,000.00"
14,15,Amrut Distilleries Private Limited,"2,200,000.00"
15,16,Triveni Turbine Limited,"2,010,000.00"
16,17,Tata Consulting Engineers Limited,"2,000,000.00"
17,18,Infinera India Private Limited,"1,960,000.00"
18,19,Power Grid Corporation Of India Limited,"1,500,000.00"
19,20,Ariba Technologies India Private Limited,"1,396,800.14"
20,21,Mac Charles (India) Limited,"1,230,000.00"
21,22,Axiscades Engineering Technologies Limited,"1,200,000.00"
22,23,Bae Systems India (Services) Private Limited,"1,190,424.00"
23,24,Rural Electrification Corporation Limited,"1,182,706.00"
24,25,Reddy Structures Private Limited,"1,084,283.00"
25,26,Hikal Limited,"870,000.00"
26,27,Carl Bechem Lubricants (India) Private Limited,"324,765.00"
27,28,I G Petrochemicals Limited,"300,000.00"
28,29,Marketing Communication & Advertising Limited,"294,000.00"
29,30,Ansys Software Private Limited,"270,000.00"
30,31,Dickinson Fowler Private Limited,"203,054.00"
31,32,The Peerless General Finance & Investment Co Ltd,"60,000.00"
32,33,Amr Power Private Limited,"15,080.00"
33,34,Aimil Limited,"10,450.00"
34,35,Tata Housing Development Company Limited,0.00
35,36,Rolta India Limited,0.00
36,37,Amadeus Software Labs India Private Limited,0.00
