,SNo.,company,amount
0,1,Roche Products (India) Private Limited,"2,500,000.00"
1,2,Kaynes Technology India Private Limited,"1,744,064.00"
2,3,Procter & Gamble Hygiene And Health Care Limited,"1,000,000.00"
3,4,Software Paradigms Infotech Private Limited,"795,825.00"
4,5,Base Educational Services Private Limited,"600,000.00"
5,6,Mysore Paints And Varnish Limited,"564,778.00"
6,7,Slk Software Services Private Limited,"300,000.00"
7,8,Kumar Organic Products Limited,"200,000.00"
8,9,Mitsubishi Heavy Industries-Vst Diesel Engines Private Limited,"199,505.00"
9,10,Mphasis Limited,"100,000.00"
10,11,Wuerth Elektronik India Private Limited,"92,673.00"
11,12,Mysore Polymers And Rubber Products Limited,0.00
