,SNo.,company,amount
0,1,Muthoot Finance Limited,"89,207,875.00"
1,2,Cochin Shipyard Limited,"33,143,000.00"
2,3,Kitex Garments Limited,"14,814,213.00"
3,4,Kitex Childrenswear Limited,"14,290,320.00"
4,5,Cochin Minerals And Rutile Ltd,"7,401,734.00"
5,6,Cochin International Airport Limited,"6,427,993.00"
6,7,Muthoot Fincorp Limited,"4,329,200.00"
7,8,Synthite Industries Limited,"4,265,000.00"
8,9,Lakeshore Hospital And Research Centre Limited,"2,951,000.00"
9,10,Abad Fisheries Private Limited,"2,364,534.00"
10,11,Tata Housing Development Company Limited,"1,500,000.00"
11,12,Herbal Isolates Pvt Ltd,"1,400,000.00"
12,13,Avt Natural Products Limited,"1,356,513.00"
13,14,The South Indian Bank Limited,"1,350,000.00"
14,15,Muthoot Capital Services Limited,"1,198,069.00"
15,16,O E N India Ltd,"1,149,000.00"
16,17,V Star Creations Private Limited,"589,939.00"
17,18,Sree Sakthi Paper Mills Limited,"325,000.00"
18,19,Avt Mccormick Ingredients Private Limited,"278,199.00"
19,20,Uvj Technologies Private Limited,"214,780.00"
20,21,Muthoot Vehicle & Asset Finance Limited,"200,000.00"
21,22,Skyline Foundations And Structures Private Limited,"100,000.00"
22,23,Arjuna Natural Extracts Ltd,"10,000.00"
