,SNo.,company,amount
0,1,Dsp Merrill Lynch Capital Limited,"31,480,000.00"
1,2,V I P Industries Limited,"25,000,000.00"
2,3,Indiabulls Housing Finance Limited,"18,160,769.00"
3,4,Tata Consultancy Services Limited,"16,800,000.00"
4,5,Idfc Limited,"16,320,319.95"
5,6,Gharda Chemicals Limited,"14,990,000.00"
6,7,Tata Investment Corporation Limited,"12,000,000.00"
7,8,Anu Projects Consultants And Engineers Pvt Ltd,"10,510,000.00"
8,9,Shamyak Investment Private Limited,"10,000,000.00"
9,10,Credit Suisse Finance (India) Private Limited,"9,090,942.00"
10,11,Bachhraj And Company Private Limited,"9,000,000.00"
11,12,Housing Development Finance Corporation Limited,"8,500,000.00"
12,13,Jamnalal Sons Private Limited,"6,500,000.00"
13,14,Icici Bank Limited,"6,174,000.00"
14,15,Kotak Mahindra Bank Limited,"5,320,000.00"
15,16,Powerlinks Transmission Limited,"5,315,000.00"
16,17,Novartis Healthcare Private Limited,"5,200,000.00"
17,18,Goldman Sachs (India) Finance Private Limited,"5,100,000.00"
18,19,Panama Petrochem Limited,"5,066,620.00"
19,20,Ambuja Neotia Holdings Private Limited,"5,000,000.00"
20,21,Novartis India Limited,"5,000,000.00"
21,22,Aesthetic Builders Private Limited,"5,000,000.00"
22,23,Citicorp Finance (India) Limited,"4,400,000.00"
23,24,Rational Art And Press Private Limited,"4,000,000.00"
24,25,Nyk Line (India) Private Limited,"3,006,000.00"
25,26,Tree House Education & Accessories Limited,"3,000,000.00"
26,27,Jk Tyre & Industries Limited,"3,000,000.00"
27,28,Infina Finance Private Limited,"3,000,000.00"
28,29,Ekta Housing Private Limited,"2,951,000.00"
29,30,Trent Limited,"2,600,000.00"
30,31,Bajaj Sevashram Private Limited,"2,500,000.00"
31,32,Kc Maritime (India) Limited,"2,500,000.00"
32,33,Marquis Technologies Private Limited,"2,500,000.00"
33,34,Winro Commercial (India) Ltd,"2,500,000.00"
34,35,Synergia Life Sciences Private Limited,"2,500,000.00"
35,36,Capital First Limited,"2,500,000.00"
36,37,La-Fin Financial Services Private Limited,"2,500,000.00"
37,38,T-3 Energy Services India Private Limited,"2,492,701.00"
38,39,Rabo India Finance Limited,"2,328,020.00"
39,40,Avacado Properties And Trading (India) Private Limited,"2,150,000.00"
40,41,Tata Capital Housing Finance Limited,"2,013,000.00"
41,42,Indusind Bank Ltd.,"2,000,000.00"
42,43,Clix Capital Services Private Limited,"1,868,000.00"
