,SNo.,company,amount
0,1,Tata Capital Financial Services Limited,"20,000,000.00"
1,2,Solar Industries India Limited,"17,750,000.00"
2,3,Economic Explosives Limited,"10,027,000.00"
3,4,Bajaj Auto Limited.,"5,000,000.00"
4,5,Ankur Seeds Pvt Ltd,"4,453,871.00"
5,6,Peninsula Land Limited,"4,300,000.00"
6,7,Morarjee Textiles Limited,"3,370,941.00"
7,8,K M Dastur Reinsurance Brokers Private Limited,"2,603,376.00"
8,9,Avanti Institute Of Cardiology Pvt Ltd,"1,731,429.00"
9,10,Indo Rama Synthetics (India) Limited,"1,600,000.00"
10,11,Kec International Limited,"1,309,000.00"
11,12,Pix Transmissions Ltd,"1,300,000.00"
12,13,Bilt Graphic Paper Products Limited,"1,200,000.00"
13,14,Minex Metallurgical Company Limited,"1,000,000.00"
14,15,Rohit Iron And Steel (India) Private Limited,"800,000.00"
15,16,Allied Blenders And Distillers Private Limited,"500,000.00"
16,17,India Infrastructure Finance Company Limited,"500,000.00"
17,18,Diffusion Engineers Limited,"393,950.00"
18,19,Ruchi Soya Industries Limited,"227,000.00"
19,20,D P Jain And Co Infrastructure Private Limited,"192,270.00"
20,21,Maharashtra Enviro Power Limited,"59,038.00"
21,22,Calderys India Refractories Limited,0.00
22,23,Vast Integrated Services Limited,0.00
