,SNo.,company,amount
0,1,Shamyak Investment Private Limited,"633,000,000.00"
1,2,Gagandeep Credit Capital Private Limited,"250,000,000.00"
2,3,Bharat Forge Ltd,"112,190,000.00"
3,4,Prescient Securities Private Limited,"100,000,000.00"
4,5,Bajaj Auto Limited.,"79,500,000.00"
5,6,Cummins India Limited,"49,250,746.00"
6,7,Emcure Pharmaceuticals Limited,"29,500,000.00"
7,8,Thermax Limited.,"26,070,000.00"
8,9,Kpit Technologies Limited,"25,469,565.00"
9,10,Honeywell Turbo Technologies (India) Private Limited,"22,800,000.00"
10,11,Finolex Industries Limited,"20,500,000.00"
11,12,Cummins Research And Technology India Private Limited,"14,522,314.00"
12,13,Thyssenkrupp Industries India Private Limited,"12,140,000.00"
13,14,Indian National Press (Bombay) Private Limited,"11,500,000.00"
14,15,Bny Mellon International Operations (India) Private Limited,"10,093,483.00"
15,16,Hubtown Limited,"10,000,000.00"
16,17,Infosys Limited,"10,000,000.00"
17,18,Garware Bestretch Limited,"10,000,000.00"
18,19,Sable Waghire And Co Private Limited,"9,400,000.00"
19,20,Praj Industries Limited,"8,312,858.00"
20,21,Sterlite Technologies Limited,"7,320,000.00"
21,22,Venkys (India) Limited,"7,000,000.00"
22,23,Atlas Copco (India) Limited,"5,770,000.00"
23,24,Kirloskar Industries Limited,"5,500,000.00"
24,25,Rda Holdings Private Limited,"5,000,000.00"
25,26,Baramati Agro Limited,"5,000,000.00"
26,27,Eaton Industries Private Limited,"4,682,000.00"
27,28,Kumar Properties And Real Estate Private Limited,"4,610,000.00"
28,29,B.V. Bio-Corp Private Limited,"4,500,000.00"
29,30,Kirloskar Brothers Investments Limited,"4,500,000.00"
30,31,Kirloskar Brothers Limited,"4,500,000.00"
31,32,Clix Capital Services Private Limited,"4,495,000.00"
32,33,Tata Autocomp Hendrickson Suspensions Private Limited,"4,258,363.00"
33,34,Tata Toyo Radiator Limited,"4,204,000.00"
34,35,Zensar Technologies Limited,"4,194,000.00"
35,36,Plastiblends India Limited,"4,000,000.00"
36,37,Venco Research And Breeding Farm Private  Limited,"3,810,000.00"
37,38,Western India Forgings Pvt Ltd,"3,727,000.00"
38,39,Foseco India Limited,"3,656,000.00"
39,40,Indiabulls Housing Finance Limited,"3,646,721.00"
40,41,Mahindra Cie Automotive Limited,"3,380,000.00"
41,42,Praj Hipurity Systems Limited,"3,278,000.00"
42,43,D S Kulkarni Developers Ltd,"3,175,000.00"
43,44,Housing Development Finance Corporation Limited,"3,000,000.00"
44,45,Nvidia Graphics Private Limited,"3,000,000.00"
45,46,Kabra Extrusion Technik Ltd,"3,000,000.00"
46,47,Credit Suisse Services (India) Private Limited,"2,905,000.00"
47,48,Tieto Software Technologies Limited,"2,870,000.00"
48,49,Bobst India Private Limited,"2,825,000.00"
49,50,Bilt Graphic Paper Products Limited,"2,800,000.00"
50,51,Ups Jetair Express Private Limited,"2,665,000.00"
51,52,Ecl Finance Limited,"2,621,208.00"
52,53,Bitwise Solutions Private Limited,"2,382,924.00"
53,54,Chandukaka Saraf And Sons Private Limited,"2,286,279.00"
54,55,Power Grid Corporation Of India Limited,"2,163,000.00"
55,56,Mitcon Consultancy & Engineering Services Limited,"2,161,860.06"
56,57,Nocil Limited,"2,000,000.00"
57,58,Deloitte Shared Services India Private Limited,"2,000,000.00"
58,59,Orbit Electricals Private Limited,"2,000,000.00"
59,60,Yamazaki Mazak India Private Limited,"1,970,710.00"
60,61,India Index Services And Products Limited,"1,829,039.00"
61,62,Flextronics Technologies (India) Private Limited,"1,825,748.00"
62,63,Nelson Global Products India Private Limited,"1,800,000.00"
63,64,Rohan Builders (India) Private Limited,"1,677,793.00"
64,65,Corning Technologies India Private Limited,"1,628,468.00"
65,66,Shivsagar Bidi Works Pvt Ltd,"1,600,000.00"
66,67,Agm India Advisors Private Limited,"1,530,000.00"
67,68,Sai Service Private Limited,"1,450,000.00"
68,69,Kf Bioplants Private Limited,"1,400,000.00"
69,70,Mercedes-Benz India Private Limited,"1,400,000.00"
70,71,VAISHNO DEVI DAIRY PRODUCTS LIMITED,"1,400,000.00"
71,72,Sungard Solutions (India) Private Limited,"1,386,289.00"
72,73,Calsoft Private Limited,"1,337,999.00"
73,74,Halliburton Technology India Private Limited,"1,337,184.00"
74,75,Talentica Software (India) Pvt Ltd,"1,300,000.00"
75,76,National Stock Exchange Of India Ltd.,"1,300,000.00"
76,77,Deepak Fertilisers And Petrochemicals Corporation,"1,231,000.00"
77,78,Thermax Engineering Construction Company Limited,"1,200,000.00"
78,79,Grace Davison Chemicals India Private Limited,"1,200,000.00"
