,SNo.,company,amount
0,1,Fleetguard Filters Private Limited,"6,466,000.00"
1,2,Ecl Finance Limited,"3,280,744.00"
2,3,Garware Wall Ropes Limited,"1,320,000.00"
3,4,Cooper Corporation Private Limited,"1,202,787.00"
4,5,Slk Global Bpo Services Private Limited,"1,000,000.02"
5,6,Slk Software Services Private Limited,"1,000,000.00"
6,7,Chowgule Industries Private Limited,"700,000.00"
7,8,Acg Pharmapack Private Limited,"520,000.00"
8,9,Green Infra Btv Limited,"129,489.00"
9,10,Shree Uttam Steel And Power Limited,"100,000.00"
10,11,Poona Shims Pvt Ltd,"22,222.00"
11,12,National Stock Exchange Of India Ltd.,0.00
12,13,Green Infra Wind Energy Limited,0.00
13,14,Dotex International Limited,0.00
14,15,Spicer India Private Limited,0.00
