,SNo.,company,amount
0,1,Oswal Greentech Limited,"27,200,000.00"
1,2,Bharti Airtel Limited,"6,100,000.00"
2,3,Vardhman Acrylics Limited,"6,037,500.00"
3,4,Vardhman Yarns And Threads Limited,"5,000,000.00"
4,5,Trident Limited,"3,800,000.00"
5,6,Avon Ispat & Power Limited,"2,255,000.00"
6,7,God Gift Properties Private Limited,"2,018,978.00"
7,8,Centex International Private Limited,"1,993,425.00"
8,9,Aarti International Limited,"1,705,801.00"
9,10,Aarti Steels Limited,"1,500,000.00"
10,11,United Breweries Limited,"1,070,000.00"
11,12,Vardhman Industries Limited,"1,055,450.00"
12,13,Shingora Textiles Limited,"1,000,000.00"
13,14,Shreyans Industries Limited,"948,000.00"
14,15,Ralson (India) Limited,"800,000.00"
15,16,Vmt Spinning Company Limited,"500,000.00"
16,17,Ludhiana Beverages Private Limited,"300,000.00"
17,18,Thakurdevi Investnents Pvt Ltd,"250,000.00"
18,19,Versatile Enterprises Pvt Ltd,"240,300.00"
19,20,Sukhjit Starch And Chemicals Ltd,"120,000.00"
20,21,Hindustan Tin Works Limited,"100,000.00"
21,22,Nahar Capital And Financial Services Limited,0.00
22,23,Nahar Industrial Enterprises Limited,0.00
23,24,Nahar Spinning Mills Ltd,0.00
24,25,Nahar Poly Films Limited,0.00
