,SNo.,company,amount
0,1,Havells India Limited,"53,900,000.00"
1,2,Rajasthan State Industrial Development And Investm,"13,136,000.00"
2,3,Idfc Limited,"8,938,210.72"
3,4,Qrg Enterprises Limited.,"6,700,000.00"
4,5,Wapcos Limited,"2,930,000.00"
5,6,I P Support Services (India) Pvt Ltd,"1,700,000.00"
6,7,J.S.Four Wheel Motors Private Limited,"789,225.00"
7,8,Trianz Holdings Private Limited,"730,000.00"
8,9,Desiccant Rotors International Private Limited,"624,549.00"
9,10,Orient Refractories Limited,"472,000.00"
10,11,Hindustan Tin Works Limited,"450,000.00"
11,12,Phoenix Lamps Limited,"304,895.00"
12,13,Rajasthan Prime Steel Processing Center Private Limited,"240,376.00"
13,14,Idfc Alternatives Limited,"120,000.00"
14,15,Skipperseil Limited,"109,000.00"
15,16,Idfc Securities Limited,"38,000.00"
16,17,Aksh Optifibre Limited,0.00
