,SNo.,company,amount
0,1,Infosys Limited,"30,000,000.00"
1,2,Rajasthan State Industrial Development And Investm,"14,623,000.00"
2,3,Vaibhav Global Limited,"10,648,002.00"
3,4,Kalpataru Power Transmission Limited,"7,500,000.00"
4,5,Au Financiers (India) Limited,"5,990,367.00"
5,6,Bosch Limited,"5,460,000.00"
6,7,Mayur Uniquoters Limited,"4,454,000.00"
7,8,Rajasthan Electronics And Instruments Ltd,"3,920,000.00"
8,9,National Engineering Industries Limited,"3,329,000.00"
9,10,Compucom Software Limited,"2,245,532.00"
10,11,Ess Kay Fincorp Private Limited,"1,960,000.00"
11,12,Tata Capital Financial Services Limited,"1,707,000.00"
12,13,Manglam Build-Developers Limited,"1,640,000.00"
13,14,Ifci Infrastructure Development Limited,"1,444,265.00"
14,15,Kec International Limited,"1,372,000.00"
15,16,Mahima Real Estate Private Limited,"1,200,000.00"
16,17,Orient Refractories Limited,"1,100,000.00"
17,18,Genus Power Infrastructures Limited,"1,050,000.00"
18,19,Container Corporation Of India Limited,"850,000.00"
19,20,Fullerton India Credit Company Limited,"726,750.00"
20,21,Cleartrail Technologies Private Limited,"500,000.00"
21,22,Kifs Securities Private Limited,"500,000.00"
22,23,Nocil Limited,"500,000.00"
23,24,Impetus Infotech (India) Private Limited,"500,000.00"
24,25,Gravita India Limited,"479,194.00"
25,26,Pc Solutions Private Limited,"300,000.00"
26,27,Poddar Tyres Limited,"250,000.00"
27,28,Mangala Ispat (Jaipur) Limited,"206,000.00"
28,29,Rambagh Palace Hotel Private Limited,"200,000.00"
29,30,Sharda Cropchem Limited,"135,000.00"
30,31,Indo Rama Synthetics (India) Limited,"100,000.00"
31,32,Rmc Gems India Limited,"100,000.00"
32,33,Parker Multi-Commodities (India) Private Limited,"100,000.00"
33,34,Hindusthan Urban Infrastructure Limited,"100,000.00"
34,35,Pooja Forge Limited,"25,000.00"
35,36,Wires And Fabriks (Sa) Ltd,6.50
36,37,Rishabh Constructions Private Limited,0.00
