,Rajasthan
Ajmer,193767000.0
Alwar,91182255.72
Banswara,2048000.0
Baran,23209000.0
Barmer,46128766.0
Bharatpur,3684633.0
Bhilwara,44623000.0
Bikaner,11134735.0
Bundi,1405285.0
Chittorgarh,50953000.0
Churu,1675436.0
Dausa,0.0
Dholpur,0.0
Dungarpur,0.0
Ganganagar,0.0
Hanumangarh,200000.0
Jaipur,105215116.5
Jaisalmer,9500000.0
Jalore,761400.0
Jhalawar,12972527.0
Jhunjhunu,60496000.0
Jodhpur,314272225.0
Karauli,0.0
Kota,47410884.0
Nagaur,40043000.0
Pali,1230000.0
Pratapgarh,0.0
Rajsamand,3554647.0
Sawai Madhopur,1272527.0
Sikar,8100000.0
Sirohi,30565565.0
Tonk,0.0
Udaipur,25709273.65
