,SNo.,company,amount
0,1,Infosys Limited,"452,500,000.00"
1,2,Sundaram Finance Limited,"72,530,000.00"
2,3,Bennett Coleman And Company Limited,"55,000,000.00"
3,4,Kone Elevator India Private Limited,"42,000,000.00"
4,5,Cholamandalam Investment And Finance Company Limited,"33,500,000.00"
5,6,Polaris Consulting & Services Limited,"33,125,000.00"
6,7,Mahindra And Mahindra Limited,"26,700,000.00"
7,8,Tractors And Farm Equipment Limited.,"23,419,000.00"
8,9,Sundaram Bnp Paribas Home Finance Limited,"21,490,000.00"
9,10,Solverminds Solutions And Technologies Private Limited,"13,894,927.00"
10,11,Shriram Transport Finance Company Limited,"13,825,000.00"
11,12,Ttk Prestige Limited,"12,500,000.00"
12,13,Hyundai Motor India Limited,"12,170,000.00"
13,14,Johnson Lifts Private Limited,"10,800,000.00"
14,15,L&T; Infrastructure Finance Company Limited,"10,000,000.00"
15,16,Sabic India Private Limited,"9,260,000.00"
16,17,Apollo Hospitals Enterprise Limited,"8,890,000.00"
17,18,Express Newspapers Private Limited,"8,525,000.00"
18,19,Mobis India Limited,"7,606,417.00"
19,20,Tafe Motors And Tractors Limited,"7,500,000.00"
20,21,Franklin Templeton Asset Management (India) Private Limited,"7,059,000.00"
21,22,Indo-Mim Private Limited,"6,000,000.00"
22,23,Tvs Logistics Services Limited,"5,464,000.00"
23,24,Bajaj Finance Limited,"5,000,000.00"
24,25,Entertainment Network (India) Limited,"4,800,000.00"
25,26,Aachi Masala Foods Private Limited,"4,735,000.00"
26,27,Ppn Power Generating Company Private Limited,"4,700,000.00"
27,28,India Motor Parts & Accessories Limited,"4,575,000.00"
28,29,Sqs India Bfsi Limited,"4,455,725.00"
29,30,Caplin Point Laboratories Limited,"4,210,000.00"
30,31,Bs & B Safety Systems (India) Limited,"4,000,000.00"
31,32,Sbi Capital Markets Limited,"4,000,000.00"
32,33,Delphi-Tvs Diesel Systems Limited,"4,000,000.00"
33,34,Sundram Fasteners Limited,"3,895,000.00"
34,35,Miot Hospitals Private Limited,"3,500,000.00"
35,36,Va Tech Wabag Limited,"3,330,000.00"
36,37,Amnet Systems Private Limited,"3,169,626.14"
37,38,Fidelity Business Services India Private Limited,"3,140,000.00"
38,39,Scope International Private Limited,"3,045,000.00"
39,40,T P Roy Chowdhury & Co Private Limited,"3,025,000.00"
40,41,Anjana Software Solutions Private Limited,"3,000,000.00"
41,42,Ttk Healthcare Limited,"2,900,000.00"
42,43,Newgen Knowledge Works Private Limited,"2,845,068.05"
43,44,Chennai Container Terminal Private Limited,"2,620,000.00"
44,45,Mangal Tirth Estate Limited,"2,500,000.00"
45,46,Shriram Capital Limited,"2,500,000.00"
46,47,United Breweries Limited,"2,424,000.00"
47,48,Muthoot Capital Services Limited,"2,400,000.00"
48,49,Mahindra Residential Developers Limited,"2,203,000.00"
49,50,Williams Lea India Private Limited,"2,140,819.00"
50,51,Abi-Showatech (India) Limited,"2,101,000.00"
51,52,Bnp Paribas India Solutions Private Limited,"2,100,000.00"
52,53,Madurai Power Corporation Private Limited,"2,000,000.00"
53,54,Hdfc Asset Management Company Limited,"2,000,000.00"
54,55,Latent View Analytics Private Limited,"2,000,000.00"
55,56,Lucas Tvs Limited,"1,900,000.00"
56,57,Gmr Power Corporation Limited,"1,776,131.00"
57,58,C.P.Aquaculture (India) Private Limited,"1,675,998.00"
58,59,Ramco Industries Limited,"1,609,000.00"
59,60,Savera Industries Limited,"1,515,000.00"
60,61,Electronics Corporation Of Tamilnadu Limited,"1,512,000.00"
61,62,S.G.P.Exim Private Limited,"1,500,000.00"
62,63,Legris India Private Limited,"1,500,000.00"
63,64,Tropical Agro System (India) Private Limited,"1,500,000.00"
64,65,Sds Ramcides Cropscience Private Limited,"1,400,000.00"
65,66,Hcl Technologies Limited,"1,350,000.00"
66,67,Tvs Dynamic Global Freight Services Limited,"1,328,000.00"
67,68,L&T; Finance Holdings Limited,"1,235,960.00"
68,69,Statestreet Hcl Services (India) Private  Limited,"1,200,000.00"
69,70,Htc Holdings Private Limited,"1,200,000.00"
70,71,Amrutanjan Health Care Limited,"1,200,000.00"
71,72,Tata Global Beverages Limited,"1,200,000.00"
72,73,Kals Distilleries Private Limited,"1,179,000.00"
73,74,Lancor Holdings Limited,"1,116,275.00"
74,75,Palepu Pharma Private Limited,"1,100,000.00"
75,76,Ford Motor Private Limited,"1,014,500.00"
76,77,Extreme Networks India Private Limited,"1,000,000.00"
77,78,Sundaram Industries Private Limited,"1,000,000.00"
78,79,Sakthi Auto Component Limited,"1,000,000.00"
79,80,Shriram City Union Finance Limited,"932,543.00"
80,81,Cybele Industries Limited,"876,000.00"
81,82,Sundaram Dynacast Private Limited,"860,000.00"
82,83,Ava Cholayil Health Care Private Limited,"825,000.00"
83,84,Pon Pure Chemical India Private Limited,"700,000.00"
84,85,Nazareth Foods Private Limited,"647,000.00"
85,86,Tvs Upasana Limited,"635,000.00"
86,87,Overseas Polymers Private Limited,"600,000.00"
87,88,Premier Evolvics Private Limited,"600,000.00"
88,89,Medall Healthcare Private Limited,"600,000.00"
89,90,Komatsu India Private Limited,"590,991.00"
90,91,Srf Limited,"576,000.00"
91,92,Doosan Power Systems India Private Limited,"559,064.00"
92,93,Rsm Autokast Limited,"531,000.00"
93,94,Sanmina-Sci India Private Limited,"510,034.00"
94,95,Indiabulls Housing Finance Limited,"507,868.00"
95,96,Metrohm India Limited,"500,000.00"
96,97,Iic Technologies Limited,"500,000.00"
97,98,Simpson And Company Limited,"500,000.00"
98,99,Spincotech Private Limited,"500,000.00"
99,100,Spinco Biotech Private Limited,"500,000.00"
100,101,Igarashi Motors India Limited,"480,000.00"
101,102,Rohm And Haas (India) Private Limited,"450,000.00"
102,103,Meenakshi Narayanan Investments Private Limited,"450,000.00"
103,104,Tnq Books & Journals Private Limited,"413,850.00"
104,105,Tamilnadu Fisheries Development Corporation Limited,"317,250.00"
105,106,Temasek Holdings Advisors India Private Limited,"304,769.00"
106,107,Sree Narasimha Textiles Private Limited,"275,000.00"
107,108,Stahl India Private Limited,"260,000.00"
108,109,Ansys Software Private Limited,"240,260.00"
109,110,Emerson Electric Company (India) Private  Limited,"217,000.00"
110,111,Wendt India Limited,"200,000.00"
111,112,Emerson Process Management (India) Private Limited,"200,000.00"
112,113,Container Corporation Of India Limited,"200,000.00"
113,114,National Trust Housing Finance Limited,"150,000.00"
114,115,Unique Estates Development Company Limited,"150,000.00"
115,116,Herrenknecht India Private Limited,"130,180.00"
116,117,The Peerless General Finance & Investment Co Ltd,"120,000.00"
117,118,Il&Fs; Milestone Realty Advisors Private Limited,"109,147.00"
118,119,Sac Engine Components Private Limited,"104,100.00"
119,120,Johnson Controls Automotive Limited,"100,000.00"
120,121,Manugraph India Limited,"100,000.00"
121,122,Bonfiglioli Transmissions Private Limited,"100,000.00"
122,123,Impetus Infotech (India) Private Limited,"51,000.00"
123,124,Karvy Computershare Private Limited,"50,000.00"
124,125,Rmsi Private Limited,"30,000.00"
125,126,My Home Industries Private Limited,"6,000.00"
126,127,Tempel Precision Metal Products India Private Limited,"5,000.00"
127,128,Parveen Industries Pvt Ltd,"2,400.00"
128,129,Intellect Design Arena Limited,0.00
129,130,Pharmazell (India) Private Limited,0.00
130,131,A V Thomas Leather & Allied Products Private Limited,0.00
131,132,Venus Home Appliances Private Limited,0.00
132,133,Leather Crafts (India) Private Limited,0.00
133,134,Proconnect Supply Chain Solutions Limited,0.00
134,135,Kotak Mahindra Prime Limited,0.00
135,136,Chennai Metro Rail Limited,0.00
136,137,Neeyamo Enterprise Solutions Private Limited,0.00
137,138,Manali Petrochemicals Limited,0.00
138,139,Monotech Systems Limited,0.00
