,SNo.,company,amount
0,1,Lakshmi Machine Works Limited,"38,507,280.00"
1,2,Elgi Equipments Limited,"23,055,000.00"
2,3,Future Gaming And Hotel Services Private Limited,"8,851,270.00"
3,4,L G Balakrishnan & Bros Limited,"7,555,000.00"
4,5,Ampo Valves India Private Limited,"5,208,546.00"
5,6,C R I Pumps Private Limited,"3,904,960.00"
6,7,Lakshmi Ring Travellers (Coimbatore) Limited,"3,879,242.00"
7,8,Treadsdirect Limited,"3,750,000.00"
8,9,Elgi Rubber Company Limited,"3,750,000.00"
9,10,Hi-Tech Systems & Services Ltd.,"3,264,000.00"
10,11,Lakshmi Cargo Company Limited,"3,250,000.00"
11,12,Ats Elgi Limited,"3,150,000.00"
12,13,Sakthi Auto Component Limited,"2,897,000.00"
13,14,Lakshmi Card Clothing Mfg. Company Private Limited,"2,700,000.00"
14,15,Roots Industries India Limited,"2,596,600.00"
15,16,Cameron Manufacturing (India) Private Limited,"1,848,147.00"
16,17,Centaur Pharmaceuticals Private Limited,"1,500,000.00"
17,18,Elgi Ultra Industries Limited,"1,415,000.00"
18,19,Premier Spg And Wvg Mills Private Limited,"1,375,000.00"
19,20,Ambika Cotton Mills Limited,"1,320,000.00"
20,21,Unique Estates Development Company Limited,"1,100,000.00"
21,22,Dresser Valve India Private Limited,"1,046,205.00"
22,23,Ramco Industries Limited,"1,025,000.00"
23,24,Super Sales India Limited,"1,000,000.00"
24,25,Ttk Healthcare Limited,"1,000,000.00"
25,26,Hirotec India Private Limited,"877,500.00"
26,27,Kikani Exports Private Limited,"750,000.00"
27,28,Sandisk India Device Design Centre Private Limited,"626,069.00"
28,29,Kajaria Ceramics Limited,"600,000.00"
29,30,Flow Link Systems Private Limited,"600,000.00"
30,31,Jay Jay Mills India Private Limited,"560,000.00"
31,32,Roots Multi Clean Limited,"503,336.00"
32,33,Premier Mills Private Limited,"400,000.00"
33,34,Bannari Amman Spinning Mills Limited,"400,000.00"
34,35,Craftsman Automation Private Limited,"285,000.00"
35,36,Rsm Autokast Limited,"245,000.00"
36,37,Prima Products Private Limited,"155,000.00"
37,38,Nandi Roller Flour Mills Private Limited,"151,000.00"
38,39,Igopl Offshore Private Limited,"150,000.00"
39,40,Premier Evolvics Private Limited,"150,000.00"
40,41,Tata Asset Management Limited,"100,000.00"
41,42,Tata Trustee Company Limited,"100,000.00"
42,43,Shoft Shipyard Private Limited,"100,000.00"
43,44,Magna Electro Castings Limited,"81,000.00"
44,45,Indsil Hydro Power And Manganese Limited,"66,000.00"
45,46,Intrasoft Technologies Limited,"51,000.00"
46,47,I G Petrochemicals Limited,"11,000.00"
47,48,Express Newspapers Private Limited,"1,506.00"
48,49,Salona Cotspin Limited,"1,100.00"
49,50,Rasi Tex India Private Limited,0.00
50,51,Sree Annapoorna Sree Gowrishankar Hotels  Private Limited,0.00
51,52,Eye Foundation Limited,0.00
