,SNo.,company,amount
0,1,Atc Tires Private Limited,"20,236,000.00"
1,2,Bbl Daido Private Limited,"8,000,000.00"
2,3,Nuclear Power Corporation Of India Limited,"6,997,479.00"
3,4,Kalpataru Power Transmission Limited,"5,000,000.00"
4,5,Addison & Co. Limited,"1,700,000.00"
5,6,George Oakes Limited,"1,500,000.00"
6,7,Seyad Home Industries Private Limited,"1,107,000.00"
7,8,Sundaram Industries Private Limited,"750,000.00"
8,9,Tafe Access Limited,"500,000.00"
9,10,Chennai Radha Engineering Works Private Limited,"435,000.00"
10,11,Ramco Industries Limited,"15,000.00"
11,12,Bimetal Bearings Limited,15.00
