,SNo.,company,amount
0,1,Aurobindo Pharma Ltd,"17,093,607.00"
1,2,Bharat Dynamics Limited,"8,384,000.00"
2,3,Hewlett-Packard Globalsoft Private Limited,"3,648,884.00"
3,4,Ncl Alltek & Seccolor Limited,"2,550,000.00"
4,5,Pennar Engineered Building Systems Limited,"760,000.00"
5,6,Signode India Limited,"600,000.00"
6,7,Vishnu Chemicals Limited,"452,276.00"
7,8,Ncl Wintech India Limited,"408,091.00"
8,9,Sai Life Sciences Limited,"328,100.00"
9,10,Nosch Labs Private Limited,"250,000.00"
10,11,Globion India Private Limited,"220,000.00"
