,SNo.,company,amount
0,1,Hindustan Aeronautics Limited,"17,318,000.00"
1,2,B L Lifesciences Private Limited,"2,000,000.00"
2,3,Ptc Industries Limited,"1,388,600.00"
3,4,Dsp Blackrock Investment Managers Private Limited,"1,000,000.00"
4,5,Piccadily Holiday Resorts Limited,"293,928.00"
5,6,Allied Nippon Ltd.,"250,000.00"
6,7,Brijwasi Bullions And Jewellers Private Limited (Transfered From Up),"241,660.00"
7,8,Radico Khaitan Limited,"200,000.00"
8,9,Tata Toyo Radiator Limited,"15,000.00"
9,10,Dss Imagetech Private Limited,"12,200.00"
10,11,Housing And Urban Development Corporation Limited,0.00
11,12,U P Purva Sainik Kalyan Nigam Limited,0.00
