,name,CIN,NIC,amount
0,3D Plm Software Solutions Limited,U72900MH2001PLC134244,72.0,608750
1,A K Capital Services Limited,L74899MH1993PLC274881,74.0,7500000
2,A L M Industries Limited,U19111DL1996PLC129067,,1443450
3,A R B Bearings Limited,U74899DL1990PLC039861,,1084000
4,A V Thomas Leather & Allied Products Private Limited,U18209TN1977PTC007377,18.0,0
5,A.B. Grain Spirits Private Limited,U15500PB2005PTC027841,,1236152
6,AJNARA INDIA LIMITED,U01111DL1991PLC046358,,100000
7,Aachi Masala Foods Private Limited,U15495TN2006PTC060397,,4735000
8,Aaiswarya Dyeing Mills Private Limited,U17119GJ1993PTC020372,,2007000
9,Aarti International Limited,U27109PB1993PLC014037,27.0,1705801
10,Aarti Steels Limited,U17115PB1979PLC003991,,1500000
11,Abad Fisheries Private Limited,U05001KL2006PTC019362,,2364534
12,Abbott India Limited,L24239MH1944PLC007330,21.0,30375000
13,Abc Bearings Limited,L29130MH1961PLC012028,29.0,2500000
14,Abi-Showatech (India) Limited,U40103TN1991PLC021872,40.0,13147000
15,Accutest Research Laboratories India Private Limited,U24239MH2001PTC131153,,300000
16,Acg Inspection Systems Private Limited,U72300MH2009PTC192362,,140000
17,Acg Pampac Machines Private Limited,U27299MH1987PTC044041,,635640
18,Acg Pharmapack Private Limited,U45200MH2004PTC149770,,520000
19,Acrysil Limited,L26914MH1987PLC042283,26.0,1161825
20,Ad- Manum Finance Limited,L52520MP1986PLC003405,52.0,1850000
21,Adani Enterprises Limited,L51100GJ1993PLC019067,51.0,19600000
22,Adani Gas Limited,U40100GJ2005PLC046553,40.0,16600000
23,Adani Infra (India) Limited,U45204GJ2010PLC059226,45.0,5100000
24,Adani Wilmar Limited,U15146GJ1999PLC035320,10.0,10220000
25,Addison & Co. Limited,U28939TN1914PLC000008,28.0,1700000
26,Adhunik Industries Limited,L65921WB1979PLC032200,64.0,451000
27,Adhunik Infrastructures Private Limited,U45207WB1996PTC082399,,5580
28,Aditi Technologies Private Limited,,,522000
29,Ador Powertron Limited,U31103PN1995PLC084268,31.0,400000
30,Ador Welding Limited,L70100MH1951PLC008647,68.0,2657000
31,Advanced Enzyme Technologies Limited,U24200MH1989PLC051018,24.0,300000
32,Adventz Finance Private Limited,U65993WB1996PTC079012,65.0,500000
33,Advik Hi-Tech Private Limited,U29299PN1998PTC013028,,155721
