,Unnamed: 0,name,CIN,NIC,amount
0,1365,Shamyak Investment Private Limited,,,643000000
1,858,L & T Finance Limited,,,13980060
2,1408,Smartwheels Private Limited,,,10000000
3,864,L&T; Infrastructure Finance Company Limited,,,10000000
4,648,Hsbc Electronic Data Processing India Private Limited,,,7764733
5,815,Kerala State Backward Classes Development Corporation Limited,,,7100000
6,324,Clix Capital Services Private Limited,,,6363000
7,862,L&T; Finance Holdings Limited,,,4624960
8,1152,Passionate Investment Management Private  Limited,,,4070000
9,1660,Venco Research And Breeding Farm Private  Limited,,,3810000
10,1461,Statestreet Global Advisors India Private Limited,,,2850000
11,694,Indian Renewable Energy Development Agen Cy Limited,,,2770000
12,675,Il&Fs; Rail Limited,,,2630000
13,1668,Vibracoustic India Private Limited,,,2495869
14,456,Ess Kay Fincorp Private Limited,,,1960000
15,592,Gulf Asphalt Private Limited,,,1861950
16,1462,Statestreet Hcl Services (India) Private  Limited,,,1200000
17,336,Concordia International (India) Services Private Limited,,,1003302
18,1080,Nidec Industrial Automation India Private Limited,,,708231
19,861,L&T; Construction Equipment Limited,,,618000
20,863,L&T; Hydrocarbon Engineering Limited,,,600000
21,568,Great Galleon Ventures Limited,,,584000
22,28,Aditi Technologies Private Limited,,,522000
23,1633,Utkarsh India Limited,,,400000
24,1605,Tt Electronics Sensing And Control India  Private Limited,,,308875
25,125,Arris Group India Private Limited,,,272500
26,441,Emerson Electric Company (India) Private  Limited,,,228000
27,94,Ankur Scientific Energy Technologies Pvt  Ltd,,,171000
28,323,Clifford Chance Business Services Private Limited,,,143460
29,674,Il&Fs; Milestone Realty Advisors Private Limited,,,109147
30,422,Edelweiss Finvest Private Limited,,,100000
31,1578,Tmf Holdings Limited,,,9177
32,288,Cello Writing Instruments And Containers  Private Limited,,,0
33,1436,Sree Annapoorna Sree Gowrishankar Hotels  Private Limited,,,0
34,1399,Sita Information Networking Computing (India) Private Limited,,,0
35,997,Misys Software Solutions (India) Private  Limited,,,0
36,497,Fnf India Private Limited,,,0
