,Unnamed: 0,name,CIN,NIC,amount
0,1365,Shamyak Investment Private Limited,,,643000000
1,1261,Reliance Infrastructure Limited,L99999MH1929PLC001530,99.0,253500000
2,515,Gagandeep Credit Capital Private Limited,U65990MH1993PTC073769,,250000000
3,1167,Piramal Finance Private Limited,U99999MH1974PTC129493,99.0,119400000
4,1200,Prescient Securities Private Limited,U65929MH2003PTC141455,,100000000
5,1377,Shree Ramkrishna Exports Private Limited,U36912MH2012PTC229115,36.0,47156000
6,838,Kone Elevator India Private Limited,U29141TN1984FTC010913,29.0,42000000
7,47,Ajeet Seeds Private Limited,U01100MH1986PTC039814,,40200000
8,731,Ireo Private Limited,U70101DL2004PTC125163,,36923530
9,984,Microsoft India (R&D;) Private Limited,U72200DL1998PTC093824,72.0,31520000
10,644,Honeywell Turbo Technologies (India) Private Limited,U29299PN2004PTC019904,,22800000
11,697,Indianoil Petronas Private Limited,U74899DL1998PTC097297,74.0,19700000
12,1144,Panasonic India Private Limited,U51395TN2006PTC060554,,19569000
13,619,Hewlett-Packard Globalsoft Private Limited,U72300KA2000PTC026968,63.0,15449152
14,1023,Mulberry Silks Limited,U85110KA1982PLC005007,,15176000
15,879,Laurus Labs Private Limited,U24239AP2005PTC047518,24.0,14862835
16,45,Ajanta Private Limited,U33300GJ1989PTC013081,,14389536
17,221,Bilakhia Holdings Private Limited,U67120GJ1992PTC017523,,14300000
18,427,Elecon Engineering Company Limited,L29259GJ1960PLC001082,29.0,14192000
19,180,Bajaj Resources Limited,U24100DL1940PLC273610,,14000000
20,858,L & T Finance Limited,,,13980060
21,1418,Solverminds Solutions And Technologies Private Limited,U72200TN2004PTC053097,,13894927
22,770,Johnson Lifts Private Limited,U27209TN1981PTC008718,,12800000
23,702,Indo-Mim Private Limited,U28110AP1996PTC023794,,12600000
24,53,Alkem Laboratories Limited,U00305MH1973PLC174201,0.0,12000000
25,1626,Unitedhealth Group Information Services Private Limited,U74999DL2002PTC186567,,11200000
26,260,Buhler (India) Private Limited,U85110KA1991PTC011695,,11045624
27,785,Jyoti Ceramic Industries Private Limited,U99999MH1973PTC016635,,11000000
28,1287,Roquette Riddhi Siddhi Private Limited,U15326GJ2010PTC062115,15.0,10700000
29,1695,Wells Fargo India Solutions Private Limited,U72200TG2006PTC051001,,10667280
30,103,Anu Projects Consultants And Engineers Pvt Ltd,U74140MH1986PTC041595,,10510000
31,240,Bny Mellon International Operations (India) Private Limited,U72900PN2004FTC022163,,10093483
32,764,Jivraj Tea Limited,U01130GJ1981PLC004892,,10000000
33,1408,Smartwheels Private Limited,,,10000000
34,864,L&T; Infrastructure Finance Company Limited,,,10000000
35,1311,Sable Waghire And Co Private Limited,U16003MH1966PTC013636,,9400000
