,SNo.,company,amount
0,1,Apollo Hospitals Enterprise Limited,"48,440,000.00"
1,2,Arunachala Logistics Private Limited,"10,000,000.00"
2,3,Sap India Private Limited,"4,700,000.00"
3,4,Srikalahasthi Pipes Limited,"4,262,000.00"
4,5,Amara Raja Infra Private Limited,"3,500,000.00"
5,6,Ntpc Bhel Power Projects Private Limited,"1,641,000.00"
6,7,Med Manor Organics Private Limited,"1,000,000.00"
7,8,Aurobindo Pharma Ltd,"900,000.00"
8,9,Andhra Pradesh Power Generation Corporation Limited,"600,000.00"
9,10,Mrf Limited,"380,000.00"
10,11,Sukhjit Starch And Chemicals Ltd,"350,000.00"
11,12,Vardhman Pharma Distributors Private Limited,"332,000.00"
12,13,Nile Limited,"67,000.00"
13,14,Snam Alloys Private Limited,0.00
14,15,Amara Raja Electronics Limited,0.00
