,SNo.,company,amount
0,1,Ncc Limited,"11,300,000.00"
1,2,Nava Bharat Ventures Limited,"2,347,000.00"
2,3,Ml Infoway Projects Private Limited,"1,975,000.00"
3,4,R.A.K.Ceramics India Private Limited,"1,300,000.00"
4,5,Cairn India Limited,"1,300,000.00"
5,6,Hes Infra Private Limited,"1,300,000.00"
6,7,K.P.R.Agrochem Limited,"771,523.00"
7,8,Deccan Tobacco Exports Private Limited,"736,286.00"
8,9,Divis Pharmaceuticals Pvt.Ltd.,"600,000.00"
9,10,Reliance Industries Limited,0.00
10,11,Tyche Industries Limited,0.00
11,12,Bsr Infratech India Limited,0.00
