,SNo.,company,amount
0,1,Andhra Pradesh Power Generation Corporation Limited,"30,180,000.00"
1,2,Ccl Products (India) Limited,"12,325,000.00"
2,3,Sri Dhanalakshmi Cotton And Rice Mills Private Limited,"4,475,000.00"
3,4,Greenesol Power Systems Private Limited,"3,600,000.00"
4,5,Cs Shares And Stocks Private Limited,"2,500,000.00"
5,6,Granules India Limited,"2,250,000.00"
6,7,Parasakti Cement Industries Limited,"2,044,000.00"
7,8,Prabhat Agri Biotech Limited,"1,863,000.00"
8,9,Dte Exports Pvt Ltd,"1,823,436.00"
9,10,Bharat Heavy Electricals Limited,"1,400,000.00"
10,11,Margadarsi Chits Private Limited,"1,252,675.00"
11,12,Sri Nukala Rama Koteswara Rao Textiles Private Limited,"1,074,000.00"
12,13,Sri Lakshmi Godavari Spinning Mills Limited,"1,056,409.00"
13,14,Ramkrishy Infrastructure Private Limited,"1,000,000.00"
14,15,Pridhvi Asset Reconstruction And Securitisation Company Limited,"1,000,000.00"
15,16,Virat Crane Industries Limited,"835,000.00"
16,17,Prasuna Vamsikrishna Spinning Mills Private Limited,"702,200.00"
17,18,Sarala Project Works Private Limited,"600,000.00"
18,19,P.E.S.Engineers Pvt.Ltd.,"500,000.00"
19,20,Divis Biotech Private Limited,"314,597.00"
20,21,Amaravathi Textiles Pvt Ltd,"305,000.00"
21,22,Suven Life Sciences Limited,"250,000.00"
22,23,Infor (India) Private Limited,"234,954.00"
23,24,Balarama Krishna Spinning Mills Private Limited,"210,000.00"
24,25,Vijayawada Tollway Private Limited,"200,000.00"
25,26,K S Subbiah Pillai & Company (India) Private Limited,"200,000.00"
26,27,Deccan Cements Ltd,"160,000.00"
27,28,Can Fin Homes Limited,"71,250.00"
28,29,Natco Pharma Limited,13.60
29,30,Genting Lanco Power (India) Private Limited,2.00
30,31,Venkatrama Poultries Private Limited,0.00
31,32,Sree Lalitha Parameswari Spinning Mills Private Limited,0.00
32,33,Sri Saibalaji Spintex (India) Private Limited,0.00
33,34,Kalpataruvu Spinning Mills Limited,0.00
34,35,Tirumala Cotton And Agro Products Private Limited,0.00
35,36,Bhavya Cements Limited,0.00
36,37,Kallam Brothers Cottons Private Limited,0.00
37,38,Prasad Seeds Private Limited,0.00
