,SNo.,company,amount
0,1,Dr. Ramesh Cardiac And Multispeciality Hospital Private Limited,"11,550,000.00"
1,2,Gmr Gujarat Solar Power Limited,"10,400,000.00"
2,3,Gmr Power Corporation Limited,"8,906,000.00"
3,4,Shriram Transport Finance Company Limited,"8,758,000.00"
4,5,Ushodaya Enterprises Private Limited,"6,300,000.00"
5,6,Idupulapadu Cotton Mills Private Limited,"6,015,000.00"
6,7,Grandhi Enterprises Private Limited,"5,500,000.00"
7,8,Rajam Enterprises Private Limited,"5,500,000.00"
8,9,The K C P Limited,"5,094,000.00"
9,10,Pvp Ventures Limited,"3,274,000.00"
10,11,Sri Dhanalakshmi Cotton And Rice Mills Private Limited,"3,000,000.00"
11,12,Satyadeeptha Pharmaceuticals Limited,"2,510,160.00"
12,13,Siva Swati Textile Private Limited,"2,500,000.00"
13,14,Kusalava International Limited,"2,500,000.00"
14,15,Kmv Projects Limited,"2,305,000.00"
15,16,Picturehouse Media Limited,"2,011,000.00"
16,17,Nava Bharat Ventures Limited,"1,897,000.00"
17,18,Mohan Spintex India Limited,"1,882,939.00"
18,19,Deccan Jewellers Private Limited,"1,549,000.00"
19,20,Margadarsi Chits (Karnataka) Private Limited,"1,500,000.00"
20,21,Kanakadurga Finance Limited,"1,150,000.00"
21,22,Ra Chem Pharma Limited,"1,101,135.00"
22,23,Gv Estates And Hotels Private Limited,"638,139.00"
23,24,Sarvejana Healthcare Private Limited,"500,000.00"
24,25,Prabhat Agri Biotech Limited,"350,000.00"
25,26,Vishnu Chemicals Limited,"61,000.00"
26,27,Jasper Industries Private Limited,"5,000.00"
27,28,Bhagyanagar Gas Limited,0.00
28,29,Andhra Pradesh Heavy Machinery And Engineering Ltd,0.00
