,SNo.,company,amount
0,1,Power Grid Corporation Of India Limited,"11,319,000.00"
1,2,Bayer Cropscience Limited,"11,010,000.00"
2,3,Interglobe Technology Quotient Private Limited,"6,400,000.00"
3,4,Vaisakhi Bio-Marine Private Limited,"5,230,948.00"
4,5,Sree Rayalaseema Alkalies And Allied Chemicals Ltd,"4,870,000.00"
5,6,Fluentgrid Limited,"4,075,638.00"
6,7,Vaisakhi Bio-Resources Private Limited,"3,023,988.00"
7,8,Sree Rayalaseema Hi-Strength Hypo Limited,"1,575,389.00"
8,9,Medicare Environmental Management Private Limited,"1,150,000.00"
9,10,S.P.Y. Agro Industries Limited,"600,000.00"
10,11,Mumbai Waste Management Limited,"500,000.00"
11,12,Chemtech Acids And Chemicals Pvt Ltd,"388,891.00"
12,13,Mouri Tech Private Limited,"302,304.50"
13,14,Acclaris Business Solutions Private Limited,"301,740.00"
14,15,Hinduja National Power Corporation Ltd,"241,467.00"
15,16,Arunachala Logistics Private Limited,"41,250.00"
16,17,Jsw Cement Limited,0.00
17,18,Brilliant Bio Pharma Private Limited,0.00
