,SNo.,company,amount
0,1,Jocil Limited,"4,000,000.00"
1,2,Sri Gopikrishna Infrastructure Private Limited,"2,100,000.00"
2,3,Sree Satyanarayana Spinning Mills Ltd,"1,710,000.00"
3,4,Viral Alkalis Limited,"1,500,000.00"
4,5,Sri Sarvaraya Sugars Limited,"1,074,650.00"
5,6,Srinivasa Cystine Private Ltd,"1,000,000.00"
6,7,Gowthami Solvent Oils Limited,"671,061.00"
7,8,Pridhvi Asset Reconstruction And Securitisation Company Limited,0.00
8,9,Ramabhadra Industries Private Limited,0.00
9,10,Veljan Hydrair Limited,0.00
10,11,Gangavaram Port Limited,0.00
