,SNo.,company,amount
0,1,Power Grid Corporation Of India Limited,"10,860,000.00"
1,2,Hsbc Investdirect Financial Services (India) Limited,"4,104,840.00"
2,3,Bihar State Building Construction Corporation Limited,"3,964,068.00"
3,4,National Seeds Corporation Limited,"3,846,445.00"
4,5,Ecl Finance Limited,"1,755,000.00"
5,6,Dmi Finance Private Limited,"1,000,000.00"
6,7,Insecticides (India) Limited,"679,672.00"
7,8,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited,"500,000.00"
8,9,Idbi Bank Limited,"435,000.00"
9,10,Can Fin Homes Limited,"319,954.00"
10,11,Infrastructure Leasing And Financial Services Limited,"207,128.00"
11,12,National Insurance Co Ltd,"172,200.00"
12,13,Bihar State Power Transmission Company Limited,"100,000.00"
13,14,Ircon International Limited,0.00
14,15,Speedcrafts Limited,0.00
15,16,National Handicapped Finance And Development Corporation (Us.25),0.00
16,17,Harman Finochem Limited,0.00
