,SNo.,company,amount
0,1,Paul Merchants Limited,"3,119,621.00"
1,2,Steel Strips Wheels Ltd,"3,087,000.00"
2,3,Kandhari Beverages Private Limited,"2,871,708.00"
3,4,Khandelia Udyog Private Limited,"1,500,000.00"
4,5,Scott Edil Pharmacia Limited,"990,761.00"
5,6,The Associated Chambers Of Commerce And Industry Of India,"403,562.00"
6,7,Khandelia Oil And General Mills Private Limited,"245,150.00"
7,8,Groz Beckert Asia Private Limited,"200,000.00"
8,9,Betts India Private Limited,"200,000.00"
9,10,Nectar Life Sciences Limited,"160,000.00"
10,11,Ricela Health Foods Limited,"100,000.00"
11,12,Gawar Construction Limited.,"100,000.00"
12,13,Deepak Spinners Ltd,"90,000.00"
13,14,Trim India Private Limited,"40,000.00"
14,15,Aimil Limited,"11,623.00"
15,16,Theon Pharmaceuticals Limited,"10,000.00"
16,17,Sml Isuzu Limited,9.78
17,18,Kuantum Papers Limited,0.00
