,SNo.,company,amount
0,1,The Hindustan Times Ltd,"13,000,000.00"
1,2,Pnb Housing Finance Limited,"6,830,000.00"
2,3,Globe Fincap Limited.,"5,710,000.00"
3,4,Tata Aig General Insurance Company Limited,"5,000,000.00"
4,5,Reservation Data Maintainence (India) Private Limited,"4,873,790.00"
5,6,Om Telecom Logistics Private Limited,"4,500,000.00"
6,7,Moolchand Healthcare Private Limited,"3,661,057.00"
7,8,Chowdry Associates,"2,755,824.00"
8,9,Indian Railway Finance Corporation Limited,"2,600,000.00"
9,10,Infrastructure Leasing And Financial Services Limited,"2,355,000.00"
10,11,Ratna Commercial Enterprises Private Ltd.,"2,275,000.00"
11,12,India Infrastructure Finance Company Limited,"2,000,000.00"
12,13,Aska Equipments Limited (Transfered From  Maharashtra),"1,971,000.00"
13,14,Microsoft Research Lab India Private Limited,"1,717,760.00"
14,15,Ntpc-Sail Power Company Private Limited,"1,250,800.00"
15,16,The Associated Chambers Of Commerce And Industry Of India,"1,142,243.00"
16,17,Genesis Burson -Marsteller Public Relations Private Limited,"1,116,173.00"
17,18,Prometric Testing Private Limited Tfr. From Delhi To Haryana,"942,910.00"
18,19,Orix Leasing & Financial Services India Limited,"928,090.00"
19,20,M Agarwal Stock Brokers Private Limited,"781,700.00"
20,21,Alliance Merchandising Company Private Limited,"700,000.00"
21,22,Formula Corporate Solutions India Private Limited,"629,900.00"
22,23,Micron Instruments Private Limited,"600,000.00"
23,24,A2Z Filtration Specialities Private Limited,"506,800.00"
24,25,Il & Fs Education & Technology Services Limited,"500,000.00"
25,26,Danieli Corus India Private Limited,"400,000.00"
26,27,Claridges Hotel Private Limited,"400,000.00"
27,28,Asf Insignia Sez Private Limited,"400,000.00"
28,29,Wallace Flour Mills Company Private Limited,"200,000.00"
29,30,Ferolite Jointings Limited.,"200,000.00"
30,31,Renaissance Asset Management Company Private Limited,"100,000.00"
31,32,Crosseas Capital Services Private Limited,"60,000.00"
32,33,Credit Pointe Services Private Limited,"22,824.00"
33,34,Digital Radio (Mumbai) Broadcasting Limited,0.00
