,SNo.,company,amount
0,1,Bses Yamuna Power Limited,"1,197,923,000.00"
1,2,Nikon India Private Limited,"5,900,000.00"
2,3,Infrastructure Leasing And Financial Services Limited,"3,605,088.00"
3,4,Exevo India Private Limited,"1,075,000.00"
4,5,Agriculture Insurance Company Of India Limited,"800,000.00"
5,6,Nimbus India Limited,"500,000.00"
6,7,Prometric Testing Private Limited Tfr. From Delhi To Haryana,"432,563.13"
7,8,Lloyd Housing Private Limited,"294,583.00"
8,9,Caryaire Equipments India Private Limited,"125,000.00"
9,10,Ratna Sagar Private Limited,"100,000.00"
10,11,G.K. Winding Wires Limited,0.00
11,12,Three C Shelters Private Limited,0.00
