,SNo.,company,amount
0,1,Chowgule Industries Private Limited,"4,208,000.00"
1,2,Prestige Holiday Resorts Private Limited,"1,273,000.00"
2,3,Macbrout Engineering Private Limited,"1,265,000.00"
3,4,Tulip Diagnostics Private Limited,"1,127,300.00"
4,5,Nanu Estates Private Limited,"290,000.00"
5,6,Muthoottu Mini Financiers Limited,"100,000.00"
6,7,Alcon Resort Holdings Private Limited,"9,855.00"
7,8,Schiffer And Menezes India Private Limited,0.00
8,9,Syngenta Crop Protection Private Limited,0.00
9,10,Syngenta Services Private Limited,0.00
10,11,Chowgule And Company (Salt) Private Limited,0.00
