,SNo.,company,amount
0,1,Elecon Engineering Company Limited,"9,112,000.00"
1,2,Eimco Elecon (India ) Limited,"5,234,000.00"
2,3,Adani Ports And Special Economic Zone Limited,"4,000,000.00"
3,4,Canton Laboratories Private Limited,"3,190,900.00"
4,5,Gujarat Green Revolution Company Limited,"3,000,000.00"
5,6,P B M Polytex Limited,"2,288,660.00"
6,7,Sat Kaival Hospital Private Limited,"1,410,520.00"
7,8,Abc Bearings Limited,"1,332,000.00"
8,9,Emtici Engineering Limited,"1,159,000.00"
9,10,Zerodha Commodities Private Limited,"1,000,000.00"
10,11,Chr.Hansen (India) Private Limited,"791,955.00"
11,12,Arvindbhai Bechardas Jewellers Private Limited,"500,000.00"
12,13,Swiss Glascoat Equipments Limited,"374,255.94"
13,14,Jay Chemical Industries Limited,"250,000.00"
14,15,Patel Infrastructure Private Limited,"200,000.00"
15,16,Kaira Can Company Limited,0.00
16,17,Anupam Industries Limited,0.00
