,SNo.,company,amount
0,1,Gujarat Mineral Development Corporation Limited,"109,918,840.00"
1,2,Clp India Private Limited,"20,528,659.00"
2,3,Century Enka Limited,"11,914,000.00"
3,4,Shubhalakshmi Polyesters Limited,"10,416,555.00"
4,5,Anupam Rasayan India Limited,"5,900,000.00"
5,6,Dahej Harbour And Infrastructure Limited,"3,001,302.00"
6,7,J. M. Huber India Private Limited,"2,945,141.00"
7,8,Trident Limited,"2,500,000.00"
8,9,Dahej Sez Limited,"2,200,000.00"
9,10,Luna Chemical Industries Private Limited,"2,036,693.00"
10,11,Glenmark Pharmaceuticals Limited,"1,130,000.00"
11,12,Ramdev Food Products Private Limited,"1,000,000.00"
12,13,Peninsula Land Limited,"900,000.00"
13,14,Shoft Shipyard Private Limited,"850,000.00"
14,15,Suyog Dye Chemie Pvt Ltd,"700,000.00"
15,16,Kanoria Chemicals & Industries Ltd,"690,000.00"
16,17,Solvay Specialities India Private Limited,"593,105.00"
17,18,K Patel Chemo-Pharma Private Limited,"522,400.00"
18,19,Tata Aig General Insurance Company Limited,"503,459.00"
19,20,Navdeep Chemicals Private Limited,"435,000.00"
20,21,Gujarat Borosil Limited,"330,000.00"
21,22,Subhasri Pigments Private Limited,"256,100.00"
22,23,Icpa Health Products Ltd,"250,000.00"
23,24,Upl Limited,"235,000.00"
24,25,Schott Glass India Private Limited,"176,134.00"
25,26,Sun Pharmaceutical Industries Limited,"140,000.00"
26,27,Schott Kaisha Private Limited,"131,991.00"
27,28,Welspun Urja Gujarat Private Limited,"124,277.00"
28,29,Ion Exchange (India) Limited,"107,560.00"
29,30,Insecticides (India) Limited,"40,224.00"
30,31,Borosil Glass Works Limited,0.00
