,SNo.,company,amount
0,1,Vadinar Power Company Limited,"39,500,000.00"
1,2,Vadinar Oil Terminal Limited,"8,800,000.00"
2,3,Sparsh Bio-Tech Private Limited,"2,611,111.00"
3,4,Parth Infrastructure Private Limited,"1,260,000.00"
4,5,Dev Salt Private Limited,"685,575.00"
5,6,Vapi Care Pharma Private Limited,"651,000.00"
6,7,Metropolitan Eximchem Private Limited,"500,000.00"
7,8,Vijay Tanks And Vessels Private Limited,"105,000.00"
8,9,Arvindbhai Bechardas Jewellers Private Limited,"101,000.00"
9,10,Antique Marbonite Private Limited,"23,701.00"
10,11,Sunshine Tiles Company Private Limited,0.00
