,SNo.,company,amount
0,1,Ajay Engi-Infrastructure Private Limited,"3,500,000.00"
1,2,Finecure Pharmaceuticals Limited,"2,500,000.00"
2,3,Apollo Earthmovers Limited (Deemed Public Company),"2,034,000.00"
3,4,Vikram Thermo (India) Limited,"1,000,000.00"
4,5,Aksharchem (India ) Limited,"900,000.00"
5,6,Aries Organics Private Limited,"772,000.00"
6,7,Gruh Finance Limited,"600,000.00"
7,8,Dakshin Gujarat Vij Company Limited,"546,000.00"
8,9,Tmf Services India Private Limited,"462,024.00"
9,10,Tlt Engineering India Pvt Ltd,"240,000.00"
10,11,Bisazza India Private Limited,0.00
