,SNo.,company,amount
0,1,L&T; Hydrocarbon Engineering Limited,"1,800,000.00"
1,2,Hle Engineers Private Limited,"1,600,000.00"
2,3,Enviro Control Associates (India) Private Limited,"1,600,000.00"
3,4,Mahavir Synthesis Private Limited,"1,200,000.00"
4,5,Shree Ajit Pulp And Paper Limited,"1,000,000.00"
5,6,Nj Indiainvest Private Limited,"500,000.00"
6,7,West Coast Fine Foods (India) Private Limited,"300,000.00"
7,8,Cnh Industrial (India) Private Limited,"250,000.00"
8,9,Spectrum Dyes And Chemicals Private Limited,"25,000.00"
9,10,Mahendra Brothers Exports Private Limited,"4,000.00"
10,11,Baccarose Perfumes And Beauty Products Private Limited,0.00
11,12,Hilti Manufacturing India Private Limited,0.00
