,SNo.,company,amount
0,1,Bodal Chemicals Limited,"15,000,000.00"
1,2,Jivraj Tea Limited,"15,000,000.00"
2,3,Riddhi Siddhi Developers Pvt Ltd,"11,500,000.00"
3,4,Arkay Logistics Limited,"11,500,000.00"
4,5,Colourtex Industries Private Limited,"10,000,500.00"
5,6,Nj Indiainvest Private Limited,"10,000,000.00"
6,7,Laxmi Diamond Private Limited,"8,900,000.00"
7,8,Ankit Gems Private Limited,"7,443,333.00"
8,9,Enviro Control Associates (India) Private Limited,"6,000,000.00"
9,10,63 Moons Technologies Limited,"5,913,000.00"
10,11,Siddhi Vinayak Knots & Prints Private Limited,"4,212,000.00"
11,12,Manish Packaging Private Limited,"3,947,000.00"
12,13,Sumeet Industries Limited,"3,685,000.00"
13,14,Spectrum Dyes And Chemicals Private Limited,"3,030,000.00"
14,15,Aries Colorchem Private Limited,"2,100,000.00"
15,16,Condor Footwear (India ) Limited,"2,100,000.00"
16,17,Sarin Technologies India Private Limited,"1,994,430.00"
17,18,Navin Fluorine International Limited,"1,867,000.00"
18,19,L&T-; Mhps Boilers Private Limited,"1,800,000.00"
19,20,Alpha Plastomers Private Limited,"1,760,000.00"
20,21,Aaiswarya Dyeing Mills Private Limited,"1,700,000.00"
21,22,Jasani India Private Limited,"1,622,000.00"
22,23,Power Grid Corporation Of India Limited,"1,607,000.00"
23,24,Jupiter Dye Chem Private Limited,"1,000,000.00"
24,25,Poddar Tyres Limited,"1,000,000.00"
25,26,Planet Support Services India Private Limited,"1,000,000.00"
26,27,Ami Organics Private Limited,"583,000.00"
27,28,Surat Textile Mills Limited,"542,000.00"
28,29,Gujarat Jhm Hotels Limited,"362,024.00"
29,30,Supreme (India) Impex Ltd,"300,000.00"
30,31,General Insurance Corporation Of India,"146,300.00"
31,32,Betex India Limited (Co Tr From Maha ),"121,000.00"
32,33,Gujarat Enviro-Protection And Infrastructure Limited,"106,634.00"
33,34,Shairu Gems Diamonds Private Limited,"102,400.00"
34,35,Dodsal Enterprises Private Limited,"100,000.00"
35,36,Amar Jewellers Ltd,"100,000.00"
36,37,My Healthskape Medicals Private Limited,"94,800.00"
37,38,Music Broadcast Limited,"24,000.00"
38,39,Sumilon Industries Limited,0.00
39,40,Binarylife Technology Private Limited,0.00
40,41,Ratnakala Exports Private Limited,0.00
41,42,Sujata Synthetics Limited,0.00
42,43,Dharmanandan Diamonds Private Limited,0.00
43,44,Shree Durga Syntex Private Limited,0.00
44,45,Devika Fibres Pvt Ltd,0.00
45,46,Sumilon Polyester Limited,0.00
46,47,Gujarat Polyfilms Limited,0.00
47,48,Sml Films Limited,0.00
48,49,Kiran Gems Private Limited,0.00
49,50,Royal Infraengineering Private Limited,0.00
50,51,Nbu Bearings Private Limited,0.00
