,Gujarat
Ahmedabad,1221376968.8999999
Amreli,200000.0
Anand,33843290.94
Aravalli,2000000.0
Banaskantha,3500000.0
Bharuch,180476440.0
Bhavnagar,16763083.22
Botad,151000.0
Chhota Udaipur,0.0
Dahod,5601000.0
Dang,451000.0
Devbhoomi Dwarka,0.0
Gandhinagar,40474368.0
Gir Somnath,0.0
Jamnagar,54237387.0
Junagadh,2202000.0
Kheda,9796879.8
Kutch,77833580.0
Mahisagar,2125000.0
Mehsana,12554024.0
Morbi,403167.0
Narmada,38821354.0
Navsari,8279000.0
Panchmahal,7923622.0
Patan,3551595.0
Porbandar,8010000.0
Rajkot,88577226.0
Sabarkantha,32416044.0
Surat,138263421.0
Surendranagar,50793243.0
Tapi,0.0
Vadodara,317728508.0
Valsad,68639826.07
