,SNo.,company,amount
0,1,Advanced Micro Devices Pvt Ltd,"18,200,000.00"
1,2,Altruist Technologies Private Limited,"3,440,000.00"
2,3,Partap Fabrics Private Limited,"3,100,000.00"
3,4,Nv Distilleries Private Limited,"3,011,000.00"
4,5,Parijat Industries (India) Private Limited,"1,212,000.00"
5,6,Goel International Private Limited,"1,100,000.00"
6,7,Zee Media Corporation Limited,"1,100,000.00"
7,8,Oasis Commercial Private Limited,"748,000.00"
8,9,Oasis Overseas Exports Private Limited,"671,523.05"
9,10,Glassco Laboratory Equipments Private Limited,"616,880.00"
10,11,Vadivarhe Speciality Chemicals Limited,"227,137.00"
