,SNo.,company,amount
0,1,Danfoss Industries Private Limited,"16,593,877.00"
1,2,Martin And Harris Laboratories Limited,"15,000,000.00"
2,3,Srs Limited,"9,525,000.00"
3,4,Ifci Limited,"7,620,000.00"
4,5,Escorts Limited,"6,800,000.00"
5,6,Jbm Auto Limited,"6,346,000.00"
6,7,Sledgehammer Oil Tools Private Limited.,"6,200,000.00"
7,8,Ht Media Limited,"6,000,000.00"
8,9,Indo Autotech Ltd.,"5,403,400.00"
9,10,Indian Oil Corpn. Limited,"4,400,000.00"
10,11,Havells India Limited,"3,800,000.00"
11,12,Metro Speciality Hospitals Private Limited,"3,623,457.00"
12,13,Delta Power Solutions India Private Limited,"2,577,000.00"
13,14,Lakhani Footwear Private Limited,"2,100,000.00"
14,15,Desiccant Rotors International Private Limited,"1,814,095.00"
15,16,Srs Real Infrastructure Limited,"1,747,200.00"
16,17,Whirlpool Of India Limited,"1,495,000.00"
17,18,Volkswagen Finance Private Limited,"1,103,482.00"
18,19,Gkn Driveline (India) Limited,"868,964.00"
19,20,Haryana State Industrial & Infrastructure Development Corporation Limited,"852,564.00"
20,21,Lahmeyer International (India) Private Limited,"825,600.00"
21,22,Ramco Steels Private Limited,"600,000.00"
22,23,Oswal Castings Private Limited,"571,600.00"
23,24,Agriculture Insurance Company Of India Limited,"500,000.00"
24,25,Talbros Engineering Limited,"380,879.00"
25,26,Victora Auto Private Limited,"371,100.00"
26,27,Delta Electronics India Private Limited,"300,000.00"
27,28,Roca Bathroom Products Private Limited,"275,000.00"
28,29,Metlife Global Operations Support Center  Private Limited,"243,400.00"
29,30,Huber+Suhner Electronics Private Limited,"200,000.00"
30,31,Srs Finance Limited.,"135,849.00"
31,32,Federal-Mogul Goetze (India) Limited,"100,000.00"
32,33,Biba Apparels Private Limited,"77,220.00"
33,34,Mahavir Die Casters Pvt. Ltd.,"57,500.00"
34,35,Dee Development Engineers Limited,"57,000.00"
35,36,Canon India Private Limited,"21,780.00"
36,37,Utility Powertech Limited,0.00
37,38,Victora Tool Engineers Private Limited,0.00
38,39,Klj Resources Ltd,0.00
39,40,K L J Polymers And Chemicals Limited,0.00
40,41,Klj Plasticizers Limited.,0.00
41,42,Star Wire (India) Limited,0.00
42,43,Eltek Sgs Private Limited,0.00
43,44,Vee Gee Industrial Enterprises Private Limited,0.00
44,45,Jyoti Strips Private Limited,0.00
45,46,Klj Organic Limited,0.00
46,47,Hindustan Syringes And Medical Devices Limited,0.00
