,SNo.,company,amount
0,1,Haryana State Industrial & Infrastructure Development Corporation Limited,"15,350,252.00"
1,2,Oriental Carbon & Chemicals Ltd,"5,913,000.00"
2,3,Enco Engineers Combine (Plant Ii) Private Limited,"5,645,757.00"
3,4,Ykk India Private Limited,"4,192,987.00"
4,5,Keihin Fie Private Limited,"3,286,986.00"
5,6,Sankei Giken India Private Limited,"1,600,000.00"
6,7,Technico Industries Limited,"565,000.00"
7,8,Enco Engineers Combine Private Limited,"500,000.00"
8,9,R S Technologies Private Limited,"391,259.00"
9,10,Rollatainers Limited,0.00
10,11,Sona Fuji Kiko Automotive Limited,0.00
