,SNo.,company,amount
0,1,Fresenius Kabi Oncology Limited,"208,600,000.00"
1,2,Emerald Haven Realty Limited,"58,600,000.00"
2,3,Princeton Infrastructure Private Limited,"4,641,123.00"
3,4,Gabriel India Limited,"3,710,000.00"
4,5,Asian Concretes And Cements Privatelimited,"1,500,000.00"
5,6,Mahle Filter Systems (India) Private Limited,"700,000.00"
6,7,Anand Automotive Private Limited,"600,000.00"
7,8,E-City Real Estates Private Limited,"300,000.00"
8,9,Elofic Industries Limited.,"200,000.00"
9,10,Gujarat Automotive Gears Limited,"152,000.00"
10,11,Emmbros Autocomp Limited,"100,000.00"
11,12,Rare Rose Premises Private Limited,"78,894.00"
12,13,Munix (India) Private Limited,"47,800.00"
13,14,Shivalik Bimetal Controls Ltd,"24,860.00"
14,15,Agriculture Insurance Company Of India Limited,"10,000.00"
15,16,Winsome Textile Industries Limited,0.00
16,17,Shree Siddi Vinayak Forgings Private Limited,0.00
17,18,Power Finance Corporation Limited,0.00
