,SNo.,company,amount
0,1,Jammu And Kashmir Bank Limited,"5,040,999.00"
1,2,Aarti Industries Ltd,"2,600,000.00"
2,3,Nitco Logistics Private Limited,"1,826,675.00"
3,4,Sarveshwar Foods Limited,"1,800,000.00"
4,5,Dlf Assets Private Limited,"974,000.00"
5,6,Maquet Medical India Private Limited,"800,000.00"
6,7,Selan Exploration Technology Limited,"780,122.00"
7,8,Ani Media Private Limited,"500,000.00"
8,9,Dhanuka Agritech Limited,"500,000.00"
9,10,Subros Limited,"468,000.00"
10,11,Darcl Logistics Limited,"50,000.00"
11,12,Insecticides (India) Limited,"22,233.00"
12,13,Rushil Decor Limited,"11,000.00"
13,14,Ircon International Limited,0.00
