,SNo.,company,amount
0,1,Jsw Energy Limited,"67,583,000.00"
1,2,Nandi Roller Flour Mills Private Limited,"43,874,243.00"
2,3,Jsw Industrial Gases Private Limited,"5,582,172.00"
3,4,General Insurance Corporation Of India,"4,377,566.00"
4,5,Mspl Limited,"2,231,338.00"
5,6,B.M.M. Ispat Limited,"1,950,000.00"
6,7,Karnataka Power Corporation Limited,"1,745,582.00"
7,8,Minera Steel & Power Private Limited,"1,613,614.00"
8,9,Jamipol Limited,"1,455,929.00"
9,10,Kotak Mahindra Bank Limited,"1,000,000.00"
10,11,Bkg Mining Private Limited,"500,000.00"
11,12,Real Technical Solutions Private Limited,"68,963.00"
12,13,Ishan Technical Plant Services Private Limited,"4,308.00"
13,14,Talento Technical Plant Services Private Limited,"4,308.00"
14,15,Industrial Techno Man Power Supply & Services Private Limited,"3,093.00"
15,16,Jsw Steel Processing Centres Limited,5.00
16,17,Linde India Limited,0.00
17,18,Jai Bharat Technical Services Private Limited,0.00
18,19,Sri Srinivasa Constructions India Private Limited,0.00
