,SNo.,company,amount
0,1,Beml Limited,"35,026,000.00"
1,2,Infosys Limited,"13,500,000.00"
2,3,Valdel Engineers And Constructors Private Limited,"7,500,000.00"
3,4,Hindustan Aeronautics Limited,"7,500,000.00"
4,5,Antrix Corporation Limited,"6,200,000.00"
5,6,Vfs Global Services Private Limited,"4,500,000.00"
6,7,Honda Motorcycle And Scooter India Pvt Ltd,"1,850,000.00"
7,8,Microchip Technology (India) Private Limited,"1,788,492.00"
8,9,Samsung R&D; Institute India - Bangalore Private Limited,"1,261,000.00"
9,10,Quality Systems India Healthcare Private Limited,"350,000.00"
10,11,Chaithanya Projects Private Limited,"200,000.00"
