,SNo.,company,amount
0,1,Udupi Power Corporation Limited,"700,000,000.00"
1,2,Manipal Global Education Services Private Limited,"4,100,000.00"
2,3,Pnb Metlife India Insurance Company Limited,"3,290,500.00"
3,4,Karnataka Power Corporation Limited,"553,437.00"
4,5,Navayuga Engineering Company Limited,"500,000.00"
5,6,Adani Township & Real Estate Company Private Limited,"458,000.00"
6,7,Can Fin Homes Limited,"444,136.00"
7,8,Manipal Technologies Limited,"411,210.00"
8,9,Abharan Jewellers Private Limited,"314,702.00"
9,10,Mangalore Minerals Private Limited,"147,193.00"
10,11,Konkan Railway Corporation Limited,0.00
