,Madhya Pradesh
Agar Malwa,0.0
Alirajpur,0.0
Anuppur,0.0
Ashoknagar,0.0
Balaghat,27631000.0
Barwani,0.0
Betul,1432000.0
Bhind,1875000.0
Bhopal,195527081.0
Burhanpur,0.0
Chhatarpur,9020000.0
Chhindwara,6900000.0
Damoh,5660000.0
Datia,0.0
Dewas,50730991.0
Dhar,10414600.0
Dindori,0.0
Guna,125000.0
Gwalior,10341000.0
Harda,0.0
Hoshangabad,17069242.0
Indore,74749757.0
Jabalpur,10353701.0
Jhabua,0.0
Katni,8285000.0
Khandwa,23197948.0
Khargone,5301739.0
Mandla,0.0
Mandsaur,0.0
Morena,163033.0
Narsinghpur,3047000.0
Neemuch,377022.0
Panna,0.0
Raisen,7412902.0
Rajgarh,0.0
Ratlam,411015.0
Rewa,9686000.0
Sagar,380000.0
Satna,21834000.0
Sehore,0.0
Seoni,871000.0
Shahdol,2811000.0
Shajapur,0.0
Sheopur,5717000.0
Shivpuri,0.0
Sidhi,3060000.0
Singrauli,144587000.0
Tikamgarh,873000.0
Ujjain,30419000.0
Umaria,0.0
Vidisha,0.0
