,SNo.,company,amount
0,1,Bajaj Auto Limited.,"298,000,000.00"
1,2,Bajaj Allianz General Insurance Company Limited,"50,000,000.00"
2,3,Ajeet Seeds Private Limited,"45,200,000.00"
3,4,Bajaj Finance Limited,"40,000,000.00"
4,5,Bajaj Allianz Life Insurance Company Limited,"38,000,000.00"
5,6,Bajaj Holdings & Investment Limited.,"35,000,000.00"
6,7,Badve Engineering Limited,"18,900,000.00"
7,8,Can-Pack India Private Limited,"10,900,000.00"
8,9,Usv Private Limited,"10,808,000.00"
9,10,Radico Nv Distilleries Maharashtra Limited,"8,808,000.00"
10,11,Nsdl E-Governance Infrastructure Limited,"6,106,000.00"
11,12,Volkswagen Finance Private Limited,"4,880,846.00"
12,13,Varroc Engineering Private Limited,"3,800,000.00"
13,14,Bhageria Industries Limited,"3,200,000.00"
14,15,Dewan Housing Finance Corporation Limited,"3,120,000.00"
15,16,Syncom Formulations (India) Limited,"2,551,000.00"
16,17,Motilal Oswal Securities Limited,"2,500,000.00"
17,18,Sudarshan Saur Shakti Private Limited,"2,472,000.00"
18,19,Wapcos Limited,"2,441,120.00"
19,20,Durovalves India Private Limited,"2,200,000.00"
20,21,Aurangabad Electricals Limited,"2,095,950.00"
21,22,Molecular Connections Private Limited,"2,000,001.00"
22,23,Mitutoyo South Asia Private Limited,"2,000,000.00"
23,24,Badve Autocomps Private Limited,"1,800,000.00"
24,25,Polydrug Laboratories Private Limited,"1,650,000.00"
25,26,Mercedes-Benz India Private Limited,"1,500,000.00"
26,27,Hp India Sales Private Limited,"1,460,000.00"
27,28,Endress + Hauser Flowtec (India) Private  Limited,"1,332,976.00"
28,29,Endress And Hauser (India) Automationinstrumentation Private Limited,"1,100,000.00"
29,30,Baramati Agro Limited,"950,562.00"
30,31,Sterlite Technologies Limited,"800,000.00"
31,32,Man Diesel & Turbo India Private Limited,"600,000.00"
32,33,Metalman Auto Private Limited,"600,000.00"
33,34,Tradelink Exim (India) Private Limited,"600,000.00"
34,35,Morganite Crucible (India) Limited,"434,205.00"
35,36,Glenmark Pharmaceuticals Limited,"420,000.00"
36,37,Idbi Bank Limited,"340,000.00"
37,38,Omr Bagla Automotive Systems India Limited,"300,000.00"
38,39,Power Grid Corporation Of India Limited,"300,000.00"
39,40,Fainger Leser Valves Pvt Ltd,"300,000.00"
40,41,Marathwada Auto Compo Private Limited,"296,000.00"
41,42,Taiyo Lucid Private Limited,"283,248.00"
42,43,Umasons Auto Compo Private Limited,"200,000.00"
43,44,Harman Finochem Limited,"200,000.00"
44,45,Bengal Finance And Investment Private Limited,"200,000.00"
45,46,East West Seeds India Private Limited,"185,836.00"
46,47,Suttatti Enterprises Private Limited,"109,215.00"
47,48,Infrastructure Leasing And Financial Services Limited,"100,000.00"
48,49,Jolly Board Limited,"78,000.00"
49,50,The Cotton Corporation Of India Limited,"60,000.00"
50,51,Minda Corporation Limited,"52,752.00"
51,52,Grainotch Industries Limited,"30,000.00"
52,53,Sanjeev Auto Parts Manufacturers Private Limited,0.00
53,54,Gangamai Industries And Constructions Limited,0.00
54,55,Varsa Plastic Industries Private Limited,0.00
55,56,Man Turbomachinery India Private Limited,0.00
56,57,Dhoot Transmission Private Limited,0.00
57,58,Mavin Switchgears And Control Private Limited,0.00
58,59,Clad Metal India Private Limited,0.00
59,60,Minakshi Cotton Private Limited,0.00
