,SNo.,company,amount
0,1,Maharashtra State Power Generation Company Limited,"11,667,000.00"
1,2,Gmr Warora Energy Limited,"6,404,000.00"
2,3,Sunrise Containers Limited,"1,000,000.00"
3,4,Gruh Finance Limited,"1,000,000.00"
4,5,Srbh Engineering & Equipment Private Limited,"942,000.00"
5,6,Vanaz Engineers Limited,"300,000.00"
6,7,Shoft Shipyard Private Limited,"150,000.00"
7,8,Neelikon Food Dyes And Chemicals Limited,"120,000.00"
8,9,Seamec Limited,"100,000.00"
9,10,Adam Fabriwerk Private Limited,"50,000.00"
10,11,Signet Chemical Corporation Private Limited,"50,000.00"
11,12,Sneha Foods & Feeds Private Limited,"22,000.00"
12,13,Gartner India Research & Advisory Services Private Limited,"9,800.00"
