,SNo.,company,amount
0,1,Ecl Finance Limited,"2,457,000.00"
1,2,Nsdl E-Governance Infrastructure Limited,"2,006,000.00"
2,3,Bajaj Allianz General Insurance Company Limited,"2,000,000.00"
3,4,Henkel Adhesives Technologies India Private Limited,"400,000.00"
4,5,Autocomp Corporation Panse Private Limited,"200,000.00"
5,6,Wild Flavors (India) Private Limited,"145,800.00"
6,7,Schreiber Dynamix Dairies Private Limited,"10,000.00"
7,8,Timesofmoney Private Limited,11.30
8,9,Jagruti Sugar & Allied Industries Limited,0.00
9,10,Sharda Construction And Corporation Private Limited,0.00
