,SNo.,company,amount
0,1,Irb Infrastructure Developers Limited,"50,000,000.00"
1,2,Modern Road Makers P Ltd,"50,000,000.00"
2,3,Neon Laboratories Limited,"12,262,544.00"
3,4,Msl Driveline Systems Limited,"6,100,000.00"
4,5,Alf Engineering Private Limited,"6,000,000.00"
5,6,Moet Hennessy India Private Limited,"5,514,695.00"
6,7,Spicer India Private Limited,"5,000,000.00"
7,8,Om Logistics Limited,"5,000,000.00"
8,9,Rothe Erde India Private Limited,"3,569,000.00"
9,10,Mss India Private Limited,"3,472,211.00"
10,11,K S B Pumps Limited,"3,400,000.00"
11,12,Fdc Limited,"3,400,000.00"
12,13,C.T.R. Manufacturing Industries Limited,"3,371,000.00"
13,14,Nomura Services India Private Limited,"3,181,989.00"
14,15,Ashoka Buildcon Limited,"3,111,000.00"
15,16,Security Printing And Minting Corporation Of India Limited,"3,000,000.00"
16,17,S & P Feeds Private Limited,"2,800,000.00"
17,18,Abb India Limited,"2,600,000.00"
18,19,Vadivarhe Speciality Chemicals Limited,"2,500,000.00"
19,20,Aum Advertising And Media Private Limited,"2,200,000.00"
20,21,Bnp Paribas India Solutions Private Limited,"2,170,000.00"
21,22,Lakshdeep Investments And Finance Private Limited,"2,150,000.00"
22,23,Aditya Music (India) Private Limited,"2,000,000.00"
23,24,Caprihans India Limited,"1,958,000.00"
24,25,Ecl Finance Limited,"1,918,776.00"
25,26,Harsh Constructions Private Limited,"1,900,000.00"
26,27,Sula Vineyards Private Limited,"1,871,000.00"
27,28,Khyati Realtors Private Limited,"1,500,000.00"
28,29,Gabriel India Limited,"1,470,000.00"
29,30,Thakkers Developers Limited,"1,446,354.00"
30,31,Jindal Poly Films Limited,"1,137,000.00"
31,32,Param Capital Research Private Limited,"1,100,000.00"
32,33,Dynamic Prestress Projects And Services Private Limited,"995,000.00"
33,34,Indian Oil Corpn. Limited,"900,000.00"
34,35,Lucy Electric India Private Limited,"867,000.00"
35,36,Freshtrop Fruits Limited,"754,157.00"
36,37,Alicon Castalloy Limited,"721,220.00"
37,38,Waman Hari Pethe Sons Private Limited,"640,000.00"
38,39,Glenmark Pharmaceuticals Limited,"610,000.00"
39,40,Peninsula Land Limited,"500,000.00"
40,41,Catapharma Chemicals Private Limited,"500,000.00"
41,42,Indo-Russian Aviation Limited,"500,000.00"
42,43,Aap Realtors Limited,"300,000.00"
43,44,Udhav Holdings Private Limited,"300,000.00"
44,45,Transcon - Sheth Creators Privatelimited,"300,000.00"
45,46,Stci Finance Limited,"300,000.00"
46,47,The Peerless General Finance & Investment Co Ltd,"300,000.00"
47,48,Karda Constructions Limited,"300,000.00"
48,49,Atlas Copco (India) Limited,"210,000.00"
49,50,Ashoka Concessions Limited,"200,000.00"
50,51,Pelicans Automotive & Promotional Products Private Limited,"200,000.00"
51,52,Hexagon Nutrition Private Limited,"123,000.00"
52,53,Nomura Structured Finance Services Private Limited,"75,028.00"
53,54,Blue Cross Laboratories Private Limited,15.80
54,55,Lord India Private Limited,0.00
55,56,Right Tight Fastners Private Limited,0.00
56,57,Fortuna Engineering Private Limited,0.00
57,58,Viva Highways Limited,0.00
58,59,Pramati Technologies Private Limited,0.00
59,60,Ashoka Infraways Limited,0.00
