,SNo.,company,amount
0,1,Balaji Amines Limited,"10,276,804.00"
1,2,Power Grid Corporation Of India Limited,"2,560,000.00"
2,3,Dewan Housing Finance Corporation Limited,"2,475,000.00"
3,4,Ge Power India Limited,"1,500,000.00"
4,5,Aditya Birla Finance Limited,"1,235,955.00"
5,6,Unique Estates Development Company Limited,"1,000,000.00"
6,7,Grp Limited,"761,000.00"
7,8,Etouch Systems (India) Private Limited,"600,000.00"
8,9,Sri Krishna Pharmaceuticals Limited,"400,000.00"
9,10,Utility Powertech Limited,"100,000.00"
10,11,Bang Data Forms Pvt Ltd,"100,000.00"
11,12,Precision Camshafts Limited,0.00
12,13,Lokmangal Agro Industries Limited,0.00
13,14,Mehul Construction Company Pvt Ltd,0.00
