,SNo.,company,amount
0,1,Reliance Capital Ltd,"98,300,000.00"
1,2,India Infoline Finance Limited,"61,942,650.00"
2,3,Indiabulls Housing Finance Limited,"30,000,000.00"
3,4,Dow Chemical International Private Limited,"15,700,000.00"
4,5,Lubrizol India Private Limited,"13,183,868.00"
5,6,Dewan Housing Finance Corporation Limited,"10,684,184.00"
6,7,Nomura Fixed Income Securities Private Limited,"10,520,000.00"
7,8,Apar Industries Limited,"10,200,000.00"
8,9,Jsw Steel Coated Products Limited,"7,470,000.00"
9,10,Mazagon Dock Shipbuilders Limited,"6,703,000.00"
10,11,Suryoday Micro Finance Limited,"6,228,080.00"
11,12,General Insurance Corporation Of India,"5,178,224.00"
12,13,Colgate-Palmolive (India) Limited,"5,000,000.00"
13,14,Indusind Bank Ltd.,"4,400,000.00"
14,15,Cms Computers Limited,"4,278,080.00"
15,16,Smc Infrastructures Private Limited,"4,000,000.00"
16,17,63 Moons Technologies Limited,"3,533,000.00"
17,18,Rosa Power Supply Company Limited,"3,200,000.00"
18,19,India Infoline Housing Finance Limited,"3,000,000.00"
19,20,Unichem Laboratories Limited,"2,800,000.00"
20,21,Yashraj Biotechnology Limited,"2,620,000.00"
21,22,Watson Pharma Private Limited,"2,504,026.00"
22,23,Jacobs Engineering India Private Limited,"2,300,000.00"
23,24,National Stock Exchange Of India Ltd.,"2,200,000.00"
24,25,Fis Payment Solutions & Services India Private Limited,"2,181,618.00"
25,26,Arihant Industrial Corporation Limited,"2,084,929.00"
26,27,Rotex Manufacturers And Engineers Private Limited,"2,050,000.00"
27,28,Volkswagen Finance Private Limited,"2,040,006.00"
28,29,Western Outdoor Interactive Private Limited,"2,000,000.00"
29,30,Jsw Holdings Limited,"1,960,580.00"
30,31,Merchant Shipping Services Private Limited,"1,919,000.00"
31,32,Samsara Shipping Private Limited,"1,872,405.00"
32,33,Nomura Financial Advisory And Securities  (India) Private Limited,"1,587,259.00"
33,34,Oasis Shipping Private Limited,"1,537,000.00"
34,35,Alembic Pharmaceuticals Limited,"1,500,000.00"
35,36,Dai-Ichi Karkaria Limited,"1,360,000.00"
36,37,Mol Information Processing Services (India) Private Limited,"1,353,639.00"
37,38,Ashida Electronics Private Limited,"1,271,594.00"
38,39,Unique Stockbro Private Limited,"1,211,000.00"
39,40,Emco Limited,"1,202,000.00"
40,41,Garware Polyester Limited,"1,200,000.00"
41,42,Milan Laboratories (India) Private Limited,"1,200,000.00"
42,43,Axis Bank Limited,"1,154,642.00"
43,44,Kalpataru Limited,"1,103,000.00"
44,45,Pil Mumbai Private Limited,"1,100,000.00"
45,46,Toyo Engineering India Private Limited,"1,000,000.00"
46,47,Mindstix Software Labs Private Limited,"1,000,000.00"
47,48,Camlin Fine Sciences Limited,"1,000,000.00"
48,49,Vidarbha Industries Power Limited,"900,000.00"
49,50,Khemani Distilleries Private Limited,"900,000.00"
