,Odisha
Angul,8386000.0
Balangir,0.0
Balasore,6193087.0
Bargarh,0.0
Bhadrak,7287000.0
Boudh,0.0
Cuttack,94392000.0
Deogarh,0.0
Dhenkanal,27845106.0
Gajapati,0.0
Ganjam,1544144.0
Jagatsinghapur,0.0
Jajpur,12866412.0
Jharsuguda,50666381.0
Kalahandi,55874420.0
Kandhamal,0.0
Kendrapara,2410400.0
Kendujhar,0.0
Khordha,58306030.0
Koraput,107558345.0
Malkangiri,100000.0
Mayurbhanj,5729111.0
Nabarangpur,0.0
Nayagarh,0.0
Nuapada,0.0
Puri,23550844.0
Rayagada,2000000.0
Sambalpur,20190000.0
Subarnapur,54000.0
Sundargarh,0.0
