,SNo.,company,amount
0,1,Indian Railway Finance Corporation Limited,"9,900,000.00"
1,2,Khanna Paper Mills Limited,"4,487,000.00"
2,3,Harman Finochem Limited,"600,000.00"
3,4,Valorganics Pvt Ltd,"200,000.00"
4,5,Ocm Private Limited,"120,000.00"
5,6,Avon Cycles Ltd,"120,000.00"
6,7,Ralson (India) Limited,"61,500.00"
7,8,Capital Local Area Bank Limited,"20,000.00"
8,9,Sunshine Tiles Company Private Limited,0.00
9,10,Wave Beverages Private Limited,0.00
10,11,Amdd Foods Private Limited,0.00
11,12,D D International Private Limited,0.00
12,13,Kochar Sung Up Acrylic Limited,0.00
