,SNo.,company,amount
0,1,Shree Cement Limited,"141,100,000.00"
1,2,R.K. Marble Private Limited,"30,200,000.00"
2,3,Indian Railway Finance Corporation Limited,"23,030,000.00"
3,4,Dboi Global Services Private Limited,"6,700,000.00"
4,5,Piramal Finance Limited,"3,800,000.00"
5,6,Deutsche Investments India Private Limited,"3,500,000.00"
6,7,Property Ventures (India) Private Limited,"1,600,000.00"
7,8,Elegant Marbles And Grani Industries Limited,"1,100,000.00"
8,9,Thar Share Brokers Private Limited,"1,000,000.00"
9,10,Adani Logistics Limited,"393,000.00"
10,11,The Peerless General Finance & Investment Co Ltd,"120,000.00"
11,12,Ekta Housing Private Limited,"100,000.00"
12,13,Kwality Limited,"43,000.00"
13,14,Associated Engineers And Industrials Limited,"23,000.00"
14,15,Bajaj Auto Limited.,0.00
