,SNo.,company,amount
0,1,Raj Westpower Ltd,"51,951,284.00"
1,2,Cairn India Limited,"34,900,000.00"
2,3,Desiccant Rotors International Private Limited,"3,116,542.00"
3,4,Abb India Limited,"2,200,000.00"
4,5,Barmer Lignite Mining Company Limited,"2,100,000.00"
5,6,Infrastructure Leasing And Financial Services Limited,"1,697,000.00"
6,7,L S R Speciality Oils Private Limited,"1,225,000.00"
7,8,General Insurance Corporation Of India,"1,223,335.00"
8,9,Fci Aravali Gypsum And Minerals India Limited,"1,016,938.00"
9,10,Rajasthan Sun Technique Energy Private Limited,"403,000.00"
10,11,Jay Jagdamba Profile Engineering Products Limited,"401,000.00"
