,SNo.,company,amount
0,1,Ifci Limited,"35,130,000.00"
1,2,Nitin Spinners Limited,"10,626,000.00"
2,3,Rajasthan Knowledge Corporation Limited,"7,905,260.00"
3,4,Rajasthan State Industrial Development And Investment Corporation Ltd,"4,100,000.00"
4,5,Container Corporation Of India Limited,"2,500,000.00"
5,6,Sangam (India) Limited,"2,298,568.00"
6,7,Fashion Suitings Private Limited,"1,298,262.00"
7,8,Ravi Infrabuild Projects Private Limited,"1,200,000.00"
8,9,Kanchan India Limited,"957,133.00"
9,10,Bsl Ltd,"717,000.00"
10,11,Ostwal Phoschem (India) Limited,"455,000.00"
11,12,Rswm Limited,"335,000.00"
12,13,Krishana Phoschem Limited,"317,000.00"
