,SNo.,company,amount
0,1,Jms Mining Services Private Limited,"10,800,000.00"
1,2,Simplex Infrastructures Limited,"9,000,000.00"
2,3,T T Limited,"7,700,000.00"
3,4,Fci Aravali Gypsum And Minerals India Limited,"3,946,007.00"
4,5,Hitesh Plastics Private Limited,"1,500,000.00"
5,6,Equitas Micro Finance Limited,"1,389,174.00"
6,7,Bikaji Foods International Limited,"1,057,500.00"
7,8,Nlc India Limited,"755,000.00"
8,9,Phusaram Mundhra Private Limited,"511,000.00"
9,10,Milk Food Aids Private Limited,"500,000.00"
10,11,Manaksia Limited,"250,000.00"
11,12,Sage Publications India Private Limited,"98,850.00"
12,13,Mbl Infrastructures Limited,0.00
